CLASS,LINE_COVERED,LINE_MISSED
AbstractMultiSourceExtracter,0,0
StringSourceExtracter,-1,0
StringMergingMultiSourceExtracter,0,0
StringMergingMultiSourceExtracter.Builder,0,0
NonMergingMultiSourceExtracter.Builder,0,0
NonMergingMultiSourceExtracter,0,0
AbstractMultiSourceExtracter.ConstituentExtracter,0,0
PriorityQueue,0,0
ConstantTermWeigher,0,0
NoSourceTermSourceFinder,0,0
ConstantHitWeigher,0,0
SourceExtractingHitWeigher,0,0
CachingTermWeigher,0,0
MultiplyingTermWeigher,0,0
CachingTermWeigher.MapCache,0,0
ExactMatchTermWeigher,0,0
MergingHitEnum.HitEnumPriorityQueue.new Iterator() {...},0,0
PositionBoostingHitEnumWrapper,0,0
MergingHitEnum,0,0
PositionBoostingHitEnumWrapper.PositionBoost,0,0
ConcatHitEnum,0,0
ReplayingHitEnum.Hit,0,0
ReplayingHitEnum.HitEnumAndLength,0,0
OverlapMergingHitEnumWrapper,0,0
BreakIteratorHitEnum.RepairedHitEnum,0,0
RegexHitEnum,0,0
WeightFilteredHitEnumWrapper,0,0
ReplayingHitEnum,0,0
PhraseHitEnumWrapper.PhraseCandidate,0,0
PhraseHitEnumWrapper,0,0
MergingHitEnum.HitEnumPriorityQueue,0,0
AbstractFilteredHitEnumWrapper,0,0
AbstractHitEnum,0,0
EmptyHitEnum,0,0
AbstractHitEnumWrapper,0,0
BreakIteratorHitEnum,0,0
HitEnum.LessThans,0,0
Snippet,0,0
SnippetFormatter.Default,0,0
HitEnum.LessThans.new HitEnum.LessThans() {...},0,0
HitEnum.LessThans.new HitEnum.LessThans() {...},1,-3
SimpleSegment,0,0
Snippet.Hit,0,0
GraphvizHitEnumGenerator.Link,0,0
GraphvizHit,0,0
GraphvizSnippetFormatter,0,0
GraphvizHitEnum,0,0
GraphvizHitEnumGenerator,0,0
SumSnippetWeigher,0,0
MultiSegmenter,0,0
WholeSourceSegmenter,0,0
BreakIteratorSegmenter,0,0
MultiSegmenter.Builder,0,0
BasicScoreBasedSnippetChooser.ProtoSnippetComparators.new BasicScoreBasedSnippetChooser.ProtoSnippetComparators() {...},0,0
BasicScoreBasedSnippetChooser.ProtoSnippetComparators.new BasicScoreBasedSnippetChooser.ProtoSnippetComparators() {...},1,1
CharScanningSegmenter,0,0
CharScanningSegmenter.CharScanningSegmenterMemo,0,0
MultiSegmenter.MulitSegmenterMemo,0,0
BasicScoreBasedSnippetChooser.State,0,0
BasicSourceOrderSnippetChooser.State,0,0
BasicScoreBasedSnippetChooser.ProtoSnippetQueue,0,0
ExponentialSnippetWeigher,0,0
AbstractBasicSnippetChooser,0,0
ImmediateSegmenterMemo,0,0
BasicSourceOrderSnippetChooser,0,0
ExponentialSnippetWeigher.SourceComparator,0,0
BasicScoreBasedSnippetChooser.ProtoSnippet,0,0
MultiSegmenter.ConstituentSegmenter,0,0
BasicScoreBasedSnippetChooser,0,0
BasicScoreBasedSnippetChooser.ProtoSnippetComparators,0,0
BasicQueryWeigher.FlattenerCallback,0,61
BasicQueryWeigher.HashMapTermInfos,0,5
BasicQueryWeigher.PhraseInfo,0,13
BasicQueryWeigher.SourceInfo,0,1
DefaultSimilarityTermWeigher,0,9
BasicQueryWeigher,0,56
BasicQueryWeigher.PhraseKey,0,18
BasicQueryWeigher.AutomatonSourceInfo,0,6
PostingsHitEnum,0,62
AutomatonHitEnum.Factory,0,15
AutomatonHitEnum.Forward,0,14
TokenStreamHitEnum,0,30
AutomatonHitEnum.TwoPass,0,16
AutomatonHitEnum,0,37
QueryFlattener.FuzzyQueryInfo,0,18
WrappedExceptionFromLucene,0,2
QueryFlattener,0,211
AcceptReturningReverseRunAutomaton,0,22
OffsetReturningRunAutomaton,0,12
ExperimentalHighlighter.QueryCacheKey,0,18
ExperimentalHighlighter,0,14
ExperimentalHighlighter.CacheEntry,0,3
ElasticsearchQueryFlattener,0,11
BytesRefHashTermInfos,0,18
SingleValuedFetchedFieldIndexPicker,0,2
SentenceIteratorSegmenterFactory,0,20
ExperimentalHighlighter.HighlightExecutionContext,0,281
WholeSourceSegmenterFactory,0,3
BytesRefTermWeigherCache,0,16
MultiValuedFetchedFieldIndexPicker,0,4
OffsetAugmenterSnippetFormatter,0,6
FieldWrapper,0,132
OffsetSnippetFormatter,0,12
CharScanningSegmenterFactory,0,7
DelayedSegmenter,0,14
ExperimentalHighlighterPlugin,0,2
