CLASS,LINE_COVERED,LINE_MISSED
FormIdValueImpl.JacksonInnerEntityId,0,0
SnakGroupImpl,0,0
TimeValueImpl,0,0
SitesImpl.SiteInformation,0,0
TermedStatementDocumentImpl.AliasesDeserializer,0,0
SenseIdValueImpl.JacksonInnerEntityId,0,0
DatatypeIdImpl,0,0
LexemeIdValueImpl,0,0
FormDocumentImpl,0,0
SiteLinkImpl,0,0
ClaimImpl,0,0
ValueImpl,0,0
FormIdValueImpl,0,0
LexemeDocumentImpl,0,0
TimeValueImpl.JacksonInnerTime,0,0
StatementImpl.StatementRankSerializer,0,0
SnakImpl,0,0
StatementDocumentImpl,0,0
TermImpl,0,0
EntityDocumentImpl.NonZeroFilter,0,0
PropertyIdValueImpl,0,0
GlobeCoordinatesValueImpl,0,0
StatementGroupImpl,0,0
StatementImpl,0,0
SenseIdValueImpl,0,0
NoValueSnakImpl,0,0
EntityIdValueImpl,0,0
QuantityValueImpl,0,0
StatementImpl.StatementRankDeserializer,0,0
SitesImpl,0,0
EntityDocumentImpl,0,0
TermedStatementDocumentImpl,0,0
PropertyDocumentImpl,0,0
GlobeCoordinatesValueImpl.JacksonInnerGlobeCoordinates,0,0
MonolingualTextValueImpl.JacksonInnerMonolingualText,0,0
StringValueImpl,0,0
EntityIdValueImpl.JacksonInnerEntityId,0,0
SomeValueSnakImpl,0,0
ItemDocumentImpl,0,0
ItemIdValueImpl,0,0
SenseDocumentImpl,0,0
ValueImpl.JacksonDeserializer,0,0
ReferenceImpl,0,0
ValueSnakImpl,0,0
QuantityValueImpl.JacksonInnerQuantity,0,0
MonolingualTextValueImpl,0,0
EntityRedirectDocumentImpl,0,0
DataObjectFactoryImpl,0,0
StatementImpl.PreStatement,0,0
EntityDocumentProcessorBroker,0,0
LexemeIdValue.new LexemeIdValue() {...},0,0
StatementDocument,0,0
ItemIdValue,0,0
ItemIdValue.new ItemIdValue() {...},0,0
LexemeIdValue,0,0
TermedDocument,0,0
EntityDocumentProcessorFilter,0,0
DocumentDataFilter,0,0
PropertyIdValue.new PropertyIdValue() {...},0,0
StatementRank,0,0
WikimediaLanguageCodes,0,0
EntityDocumentProcessor,0,0
PropertyIdValue,0,0
Hash,0,0
DatamodelConverter,0,0
DatamodelMapper,0,0
ReferenceBuilder,0,0
Datamodel,0,0
JsonSerializer,0,0
AbstractDataObjectBuilder,0,0
DatamodelFilter,0,0
Equality,0,0
DataFormatter,0,0
ToString,0,0
StatementBuilder,0,0
PropertyDocumentBuilder,0,0
ItemDocumentBuilder,0,0
EntityDocumentBuilder,0,0
MockStringContentFactory,0,0
MockWebResourceFetcher,0,0
MockDirectoryManager,0,0
MockOutputStream,0,0
SchemaUsageAnalyzer.PropertyRecord.new Comparator() {...},0,0
SchemaUsageAnalyzer.EntityStatistics,0,0
SchemaUsageAnalyzer.UsageRecord.new Comparator() {...},0,0
DumpProcessingOutputAction,-2,2
RdfSerializationAction,0,0
SchemaUsageAnalyzer.SiteRecord,0,0
SchemaUsageAnalyzer.UsageRecord,0,0
SchemaUsageAnalyzer,0,0
SchemaUsageAnalyzer.PropertyRecord,0,0
ClientConfiguration,-5,5
DumpProcessingOutputAction.new Closeable() {...},0,0
SchemaUsageAnalyzer.ClassRecord,0,0
Client,-87,87
DumpProcessingOutputAction.new DumpProcessingOutputAction.FinishableRunnable() {...},0,0
JsonSerializationAction,0,0
JacksonWbSearchEntitiesResult,0,0
TermStatementUpdate.AliasesWithUpdate,0,0
NeedLoginTokenException,0,0
StatementUpdate.StatementWithUpdate,0,0
LoginFailedException,0,0
WbGetEntitiesSearchData,0,0
WbGetEntitiesAction,0,0
WbGetEntitiesActionData,0,0
StatementUpdate,0,0
WbSearchEntitiesAction,0,0
JacksonWbSearchEntitiesResult.JacksonMatch,0,0
WikibaseDataFetcher,0,0
ApiConnection,0,0
WbEditingAction,0,0
BasicApiConnection,0,0
StatementUpdate.DeletedStatement,0,0
WikibaseDataEditor,0,0
RandomGuidGenerator,0,0
TermStatementUpdate.NameWithUpdate,0,0
TermStatementUpdate,0,0
NoSuchEntityErrorException,0,0
MediaWikiApiErrorException,0,0
MediaWikiApiErrorHandler,0,0
MaxlagErrorException,0,0
TokenErrorException,0,0
EditConflictErrorException,0,0
AnyValueConverter,0,0
GlobeCoordinatesValueConverter,0,0
EntityIdValueConverter,0,0
QuantityValueConverter,0,0
MonolingualTextValueConverter,0,0
TimeValueConverter,0,0
StringValueConverter,0,0
AbstractValueConverter,0,0
BufferedValueConverter,0,0
ReferenceRdfConverter,0,0
PropertyContext,0,0
SnakRdfConverter,0,0
RdfConverter,0,0
RankBuffer,0,0
RdfWriter,0,0
PropertyRegister,0,0
Vocabulary,0,0
OwlDeclarationBuffer,0,0
SnakRdfConverter.PropertyRestriction,0,0
RdfSerializer,0,0
DirectoryManagerFactory,0,0
CompressionType,0,0
Timer,0,0
DirectoryManagerImpl,0,0
WebResourceFetcherImpl,0,0
NestedIterator,0,0
MwLocalDumpFile,0,0
MwSitesDumpFileProcessor,0,0
EntityTimerProcessor.TimeoutException,0,0
DumpProcessingController,0,0
MwRevisionImpl,0,0
JsonDumpFileProcessor,0,0
DumpProcessingController.ListenerRegistration,0,0
MwDumpFormatException,0,0
MwRevisionProcessorBroker.RevisionSubscription,0,0
DumpContentType,0,0
WikibaseRevisionProcessor,0,0
MwRevisionDumpFileProcessor,0,0
MwDumpFile.DateComparator,0,0
StatisticsMwRevisionProcessor,0,0
MwRevisionProcessorBroker,0,0
EntityTimerProcessor,0,0
WmfOnlineStandardDumpFile,0,0
WmfDumpFile,0,0
JsonOnlineDumpFile,0,0
WmfLocalDumpFile,0,0
WmfDumpFileManager,0,0
WmfOnlineDailyDumpFile,0,0
CountBitsArray,0,0
BitVectorImpl,0,0
FindPositionArray,0,0
BitVectorIterator,0,0
RankedBitVectorImpl,0,0
