Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
LINE_COVERED,-503.0,3.0,-506.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_COVERED,-509.0,3.0,-512.0
LINE_COVERED,-1169.0,0.0,-1169.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_COVERED,-481.0,3.0,-484.0
LINE_COVERED,-554.0,1.0,-555.0
LINE_COVERED,-1.0,0.0,-1.0
LINE_COVERED,-6.0,3.0,-9.0
LINE_COVERED,-481.0,3.0,-484.0
LINE_COVERED,-481.0,3.0,-484.0
LINE_COVERED,-6.0,3.0,-9.0
LINE_COVERED,-15.0,3.0,-18.0
LINE_COVERED,-481.0,3.0,-484.0
LINE_COVERED,-695.0,0.0,-695.0
