Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
LINE_MISSED,466.0,497.0,-31.0
LINE_MISSED,494.0,525.0,-31.0
LINE_MISSED,680.0,708.0,-28.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_MISSED,-9.0,22.0,-31.0
LINE_MISSED,466.0,497.0,-31.0
LINE_MISSED,-9.0,22.0,-31.0
LINE_MISSED,1154.0,1182.0,-28.0
LINE_MISSED,2326.0,2326.0,0.0
LINE_MISSED,466.0,497.0,-31.0
LINE_MISSED,0.0,31.0,-31.0
LINE_MISSED,466.0,497.0,-31.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_MISSED,488.0,519.0,-31.0
LINE_MISSED,539.0,568.0,-29.0
