Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
LINE_COVERED,3.0,3.0,0.0
LINE_COVERED,64.0,64.0,0.0
LINE_MISSED,48.0,48.0,0.0
LINE_COVERED,3.0,3.0,0.0
LINE_MISSED,0.0,0.0,0.0
LINE_COVERED,3.0,3.0,0.0
LINE_MISSED,0.0,0.0,0.0
LINE_MISSED,48.0,48.0,0.0
LINE_MISSED,0.0,0.0,0.0
LINE_COVERED,3.0,3.0,0.0
LINE_MISSED,0.0,0.0,0.0
LINE_COVERED,3.0,3.0,0.0
LINE_COVERED,64.0,64.0,0.0
LINE_COVERED,3.0,3.0,0.0
LINE_COVERED,64.0,64.0,0.0
LINE_COVERED,64.0,64.0,0.0
LINE_MISSED,48.0,48.0,0.0
LINE_MISSED,48.0,48.0,0.0
LINE_COVERED,3.0,3.0,0.0
LINE_MISSED,0.0,0.0,0.0
LINE_MISSED,0.0,0.0,0.0
LINE_MISSED,115.0,115.0,0.0
