Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
LINE_COVERED,-496.0,3.0,-499.0
LINE_MISSED,481.0,512.0,-31.0
LINE_MISSED,2325.0,2325.0,0.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_MISSED,466.0,497.0,-31.0
LINE_MISSED,2800.0,2800.0,0.0
LINE_COVERED,-481.0,3.0,-484.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_COVERED,-475.0,0.0,-475.0
LINE_COVERED,-475.0,0.0,-475.0
