CLASS,LINE_COVERED,LINE_MISSED
PlotRenderingInfo,0,0
CombinedDomainXYPlot,0,0
PolarPlot,0,0
DatasetRenderingOrder,0,0
DialShape,0,0
Plot,0,0
PiePlotState,0,0
ThermometerPlot,0,0
RingPlot,0,0
PiePlot,0,0
PieLabelDistributor,0,0
PieLabelRecord,0,0
PlotState,0,0
FastScatterPlot,0,0
CompassPlot,0,0
DefaultDrawingSupplier,0,0
CategoryMarker,0,0
Crosshair,0,0
MeterPlot,0,0
IntervalMarker,0,0
AbstractPieLabelDistributor,0,0
CombinedRangeXYPlot,0,0
CombinedRangeCategoryPlot,0,0
MultiplePiePlot,0,0
MeterInterval,0,0
XYCrosshairState,0,0
PlotOrientation,0,0
WaferMapPlot,0,0
PolarAxisLocation,0,0
CombinedDomainCategoryPlot,0,0
XYPlot,0,0
ValueMarker,0,0
SpiderWebPlot,0,0
Marker,0,0
CategoryPlot,0,0
PiePlot3D,0,0
CrosshairState,0,0
CategoryCrosshairState,0,0
CenterTextMode,0,0
PieLabelLinkStyle,0,0
SeriesRenderingOrder,0,0
StandardToolTipTagFragmentGenerator,0,0
DynamicDriveToolTipTagFragmentGenerator,0,0
StandardURLTagFragmentGenerator,0,0
OverLIBToolTipTagFragmentGenerator,0,0
ImageMapUtils,0,0
DefaultAxisEditor,0,0
DefaultChartEditor,0,0
DefaultPlotEditor,0,0
DefaultLogAxisEditor,0,0
DefaultTitleEditor,0,0
DefaultValueAxisEditor,0,0
DefaultPolarPlotEditor,0,0
DefaultNumberAxisEditor,0,0
DefaultChartEditorFactory,0,0
ChartEditorManager,0,0
CustomPieURLGenerator,0,0
StandardXYURLGenerator,0,0
StandardCategoryURLGenerator,0,0
TimeSeriesURLGenerator,0,0
StandardXYZURLGenerator,0,0
CustomXYURLGenerator,0,0
CustomCategoryURLGenerator,0,0
URLUtilities,0,0
StandardPieURLGenerator,0,0
JSONUtils,0,0
LegendGraphic,0,0
Title,0,0
ImageTitle,0,0
DateTitle,0,0
ShortTextTitle,0,0
PaintScaleLegend,0,0
CompositeTitle,0,0
LegendItemBlockContainer,0,0
TextTitle,0,0
LegendTitle,0,0
ItemHandler,0,0
PieDatasetHandler,0,0
ValueHandler,0,0
KeyHandler,0,0
DatasetReader,0,0
RootHandler,0,0
CategoryDatasetHandler,0,0
CategorySeriesHandler,0,0
ChartColor,0,0
ChartHints.Key,0,0
PaintMap,0,0
JFreeChart,0,0
StandardChartTheme,0,0
ChartTransferable,0,0
PolarChartPanel,0,0
HashUtils,0,0
ChartFrame,0,0
StrokeMap,0,0
ChartUtils,0,0
JFreeChart.new RenderingHints.Key() {...},0,0
LegendItem,0,0
LegendItemCollection,0,0
ChartMouseEvent,0,0
ChartRenderingInfo,0,0
ChartPanel,0,0
ChartHints,0,0
LegendRenderingOrder,0,0
StandardChartTheme.new StandardChartTheme() {...},0,0
MouseWheelHandler,0,0
ChartFactory,0,0
PinNeedle,0,0
MiddlePinNeedle,0,0
ShipNeedle,0,0
PointerNeedle,0,0
ArrowNeedle,0,0
MeterNeedle,0,0
PlumNeedle,0,0
WindNeedle,0,0
LineNeedle,0,0
LongNeedle,0,0
SunPNGEncoderAdapter,0,0
EncoderUtil,0,0
SunJPEGEncoderAdapter,0,0
ImageEncoderFactory,0,0
CSV,0,0
IntervalXYItemLabelGenerator,0,0
StandardPieToolTipGenerator,0,0
IntervalXYToolTipGenerator,0,0
StandardXYToolTipGenerator,0,0
IntervalCategoryToolTipGenerator,0,0
StandardCrosshairLabelGenerator,0,0
IntervalCategoryItemLabelGenerator,0,0
AbstractXYItemLabelGenerator,0,0
BoxAndWhiskerXYToolTipGenerator,0,0
BubbleXYItemLabelGenerator,0,0
AbstractPieItemLabelGenerator,0,0
StandardCategorySeriesLabelGenerator,0,0
StandardPieSectionLabelGenerator,0,0
BoxAndWhiskerToolTipGenerator,0,0
AbstractCategoryItemLabelGenerator,0,0
MultipleXYSeriesLabelGenerator,0,0
CustomXYToolTipGenerator,0,0
SymbolicXYItemLabelGenerator,0,0
StandardCategoryItemLabelGenerator,0,0
StandardXYZToolTipGenerator,0,0
ItemLabelPosition,0,0
ItemLabelAnchor,0,0
StandardCategoryToolTipGenerator,0,0
HighLowItemLabelGenerator,0,0
StandardXYSeriesLabelGenerator,0,0
StandardXYItemLabelGenerator,0,0
DateTickUnit,0,0
TickUnit,0,0
AxisLocation,0,0
ModuloAxis,0,0
DateAxis.DefaultTimeline,0,0
MonthDateFormat,0,0
NumberAxis,0,0
ValueTick,0,0
AxisCollection,0,0
DateAxis,0,0
TickUnits,0,0
NumberTickUnitSource,0,0
LogAxis,0,0
CompassFormat,0,0
SymbolAxis,0,0
CategoryTick,0,0
Axis,0,0
PeriodAxisLabelInfo,0,0
ExtendedCategoryAxis,0,0
SubCategoryAxis,0,0
CategoryAnchor,0,0
DateTickMarkPosition,0,0
TickType,0,0
MarkerAxisBand,0,0
NumberTick,0,0
CategoryLabelPosition,0,0
CategoryLabelWidthType,0,0
ValueAxis,0,0
CyclicNumberAxis,0,0
StandardTickUnitSource,0,0
NumberTickUnit,0,0
DateTick,0,0
AxisSpace,0,0
LogTick,0,0
CyclicNumberAxis.CycleBoundTick,0,0
CategoryAxis,0,0
DateTickUnitType,0,0
AxisState,0,0
LogarithmicAxis,0,0
Tick,0,0
PeriodAxis,0,0
QuarterDateFormat,0,0
CategoryLabelPositions,0,0
AxisLabelLocation,0,0
AbstractDataset,0,0
DatasetGroup,0,0
Series,0,0
DefaultPieDataset,0,0
DefaultHeatMapDataset,0,0
HeatMapUtils,0,0
DefaultValueDataset,0,0
WaferMapDataset,0,0
DatasetUtils,0,0
AbstractSeriesDataset,0,0
SeriesChangeEvent,0,0
SeriesException,0,0
DefaultKeyedValuesDataset,0,0
DatasetChangeEvent,0,0
DefaultKeyedValueDataset,0,0
DefaultKeyedValues2DDataset,0,0
OHLCSeries,0,0
OHLC,0,0
OHLCSeriesCollection,0,0
OHLCItem,0,0
JFreeChartResources,0,0
JDBCPieDataset,0,0
JDBCCategoryDataset,0,0
JDBCXYDataset,0,0
DefaultCategoryDataset,0,0
DefaultIntervalCategoryDataset,0,0
SlidingCategoryDataset,0,0
