CLASS,LINE_COVERED,LINE_MISSED
SessionRequestResponseFactory,0,0
EncryptedSessionDataTranscoder.Builder,0,0
SessionHttpServletRequest.new PippoHttpSession() {...},0,0
PippoHttpSession,0,0
EncryptedSessionDataTranscoder,0,0
SessionManager,0,0
MemorySessionDataStorage,0,0
BaseEncryptor,0,0
DefaultEncryptor,0,0
CookieSessionStrategy,0,0
SessionHttpServletRequest,0,0
SerializationSessionDataTranscoder,0,0
DefaultSessionData,0,0
JDBCSessionDataStorage,0,62
HazelcastSessionDataStorage,0,0
JedisFactory,0,13
JedisSessionDataStorage,0,26
EhcacheSessionDataStorage,-3,0
EhcacheFactory,0,0
EhcacheSessionDataStorage,0,0
Error,0,0
PippoRuntimeException,0,0
PippoServletContextListener,0,0
Application,0,0
ResponseFinalizeListenerList,0,0
AbstractWebServer,0,0
Response,0,0
Flash,0,0
PippoConstants,0,0
Request,0,0
Session,0,0
DefaultErrorHandler,0,0
RequestResponse,0,0
WebServerSettings,0,0
Flash.Message,0,0
RuntimeMode,0,0
StatusCodeException,0,0
AbstractTemplateEngine,0,0
Pippo.new ReloadClassLoader() {...},0,0
PippoSettings,0,0
DefaultUriMatcher,0,0
WebServer,0,0
StatusCodeExceptionHandler,0,0
Languages,0,0
PippoFilter,0,0
RedirectHandler,0,0
ParameterValue,0,0
ContentTypeEngines,0,0
Messages,0,0
UriMatcher.UriPatternBinding,0,0
Pippo,0,0
TemplateHandler,0,0
TextPlainEngine,0,0
RequestResponseFactory,0,0
ResponseFinalizeListenerList.new ListenerList.Notifier() {...},0,0
FileItem,0,0
PippoServlet,0,0
ReloadWatcher.Event,0,0
ReloadWatcher.Builder,0,0
ReloadClassLoader,0,0
ReloadWatcher.new SimpleFileVisitor() {...},0,0
ReloadWatcher.new HashMap() {...},0,0
ReloadWatcher,0,0
GZipResponseStream,0,0
GZipResponseWrapper,0,0
GZipFilter,0,0
GZipRequestResponseFactory,0,0
ClasspathUtils,0,0
WhitelistObjectInputStream,0,0
CookieUtils,0,0
LangUtils,0,0
Stack,0,0
MimeTypes,0,0
HttpCacheToolkit,0,0
PathRegexBuilder,0,0
DateUtils,0,0
StringUtils,0,0
ServiceLocator,0,0
ListenerList,0,0
PippoUtils,0,0
ClassUtils,0,0
CryptoUtils,0,0
IoUtils,0,0
WebSocketHandler,0,0
WebSocketContext,0,0
AbstractWebSocketFilter,0,0
WebSocketRouter.WebSocketMatch,0,0
WebSocketRouter,0,0
ClasspathResourceHandler,0,0
RouteDispatcher,0,0
PingHandler,0,0
FileResourceHandler,0,0
RoutePreDispatchListenerList,0,0
CSRFHandler,0,0
Route,0,0
SystemInfoHandler,0,0
RoutePostDispatchListenerList,0,0
TrailingSlashHandler,0,0
DefaultRouteContext,0,0
DirectoryHandler,0,0
PublicResourceHandler,0,0
DefaultRouter.new DefaultUriMatcher() {...},0,0
WebjarsResourceHandler,0,0
ResourceHandler,0,0
Routing,0,0
LanguageHandler,0,0
DirectoryHandler.DirectoryBeforeComparator,0,0
RouteGroup,0,0
CorsHandler,0,0
DefaultRouter,0,0
RouteMatch,0,0
ResourceRouting,0,0
DefaultRouteContextFactory,0,0
UrlResourceHandler,0,0
DirectoryHandler.DirEntry,0,0
SettingsHandler,0,0
InfinispanSessionDataStorage,0,14
InfinispanFactory,0,12
