CLASS,LINE_COVERED,LINE_MISSED
FormIdValueImpl.JacksonInnerEntityId,0,5
SnakGroupImpl,0,24
TimeValueImpl,0,23
SitesImpl.SiteInformation,0,34
TermedStatementDocumentImpl.AliasesDeserializer,0,19
SenseIdValueImpl.JacksonInnerEntityId,0,5
DatatypeIdImpl,0,51
LexemeIdValueImpl,0,11
FormDocumentImpl,0,53
SiteLinkImpl,0,35
ClaimImpl,0,14
ValueImpl,0,4
FormIdValueImpl,0,20
LexemeDocumentImpl,0,64
TimeValueImpl.JacksonInnerTime,0,47
StatementImpl.StatementRankSerializer,0,3
SnakImpl,0,12
StatementDocumentImpl,0,69
TermImpl,0,14
EntityDocumentImpl.NonZeroFilter,0,2
PropertyIdValueImpl,0,11
GlobeCoordinatesValueImpl,0,16
StatementGroupImpl,0,43
StatementImpl,0,53
SenseIdValueImpl,0,20
NoValueSnakImpl,0,9
EntityIdValueImpl,0,36
QuantityValueImpl,0,19
StatementImpl.StatementRankDeserializer,0,2
SitesImpl,0,21
EntityDocumentImpl,0,18
TermedStatementDocumentImpl,0,53
PropertyDocumentImpl,0,33
GlobeCoordinatesValueImpl.JacksonInnerGlobeCoordinates,0,17
MonolingualTextValueImpl.JacksonInnerMonolingualText,0,8
StringValueImpl,0,10
EntityIdValueImpl.JacksonInnerEntityId,0,34
SomeValueSnakImpl,0,9
ItemDocumentImpl,0,39
ItemIdValueImpl,0,15
SenseDocumentImpl,0,34
ValueImpl.JacksonDeserializer,0,33
ReferenceImpl,0,24
ValueSnakImpl,0,35
QuantityValueImpl.JacksonInnerQuantity,0,26
MonolingualTextValueImpl,0,13
EntityRedirectDocumentImpl,0,24
DataObjectFactoryImpl,0,39
StatementImpl.PreStatement,0,17
EntityDocumentProcessorBroker,0,16
LexemeIdValue.new LexemeIdValue() {...},0,8
StatementDocument,0,77
ItemIdValue,0,1
ItemIdValue.new ItemIdValue() {...},0,8
LexemeIdValue,0,1
TermedDocument,0,4
EntityDocumentProcessorFilter,0,10
DocumentDataFilter,0,22
PropertyIdValue.new PropertyIdValue() {...},0,8
StatementRank,0,2
WikimediaLanguageCodes,0,481
EntityDocumentProcessor,0,3
PropertyIdValue,0,1
Hash,0,92
DatamodelConverter,0,151
DatamodelMapper,0,5
ReferenceBuilder,0,26
Datamodel,0,45
JsonSerializer,0,44
AbstractDataObjectBuilder,0,7
DatamodelFilter,0,85
Equality,0,205
DataFormatter,0,22
ToString,0,227
StatementBuilder,0,59
PropertyDocumentBuilder,0,14
ItemDocumentBuilder,0,18
EntityDocumentBuilder,0,54
MockStringContentFactory,0,0
MockWebResourceFetcher,0,0
MockDirectoryManager,0,0
MockOutputStream,0,0
SchemaUsageAnalyzer.PropertyRecord.new Comparator() {...},0,2
SchemaUsageAnalyzer.EntityStatistics,0,6
SchemaUsageAnalyzer.UsageRecord.new Comparator() {...},0,2
DumpProcessingOutputAction,0,69
RdfSerializationAction,0,102
SchemaUsageAnalyzer.SiteRecord,0,6
SchemaUsageAnalyzer.UsageRecord,0,22
SchemaUsageAnalyzer,0,327
SchemaUsageAnalyzer.PropertyRecord,0,17
ClientConfiguration,0,240
DumpProcessingOutputAction.new Closeable() {...},0,3
SchemaUsageAnalyzer.ClassRecord,0,14
Client,0,134
DumpProcessingOutputAction.new DumpProcessingOutputAction.FinishableRunnable() {...},0,16
JsonSerializationAction,0,28
JacksonWbSearchEntitiesResult,0,93
TermStatementUpdate.AliasesWithUpdate,0,6
NeedLoginTokenException,0,2
StatementUpdate.StatementWithUpdate,0,4
LoginFailedException,0,4
WbGetEntitiesSearchData,0,7
WbGetEntitiesAction,0,53
WbGetEntitiesActionData,0,7
StatementUpdate,0,189
WbSearchEntitiesAction,0,40
JacksonWbSearchEntitiesResult.JacksonMatch,0,38
WikibaseDataFetcher,0,97
ApiConnection,0,201
WbEditingAction,0,157
BasicApiConnection,0,21
StatementUpdate.DeletedStatement,0,14
WikibaseDataEditor,0,77
RandomGuidGenerator,0,7
TermStatementUpdate.NameWithUpdate,0,4
TermStatementUpdate,0,156
NoSuchEntityErrorException,0,2
MediaWikiApiErrorException,0,6
MediaWikiApiErrorHandler,0,7
MaxlagErrorException,0,2
TokenErrorException,0,2
EditConflictErrorException,0,2
AnyValueConverter,0,25
GlobeCoordinatesValueConverter,0,41
EntityIdValueConverter,0,11
QuantityValueConverter,0,28
MonolingualTextValueConverter,0,11
TimeValueConverter,0,30
StringValueConverter,0,29
AbstractValueConverter,0,9
BufferedValueConverter,0,18
ReferenceRdfConverter,0,30
PropertyContext,0,2
SnakRdfConverter,0,80
RdfConverter,0,237
RankBuffer,0,14
RdfWriter,0,136
PropertyRegister,0,89
Vocabulary,0,119
OwlDeclarationBuffer,0,85
SnakRdfConverter.PropertyRestriction,0,5
RdfSerializer,0,36
DirectoryManagerFactory,0,0
CompressionType,0,0
Timer,0,0
DirectoryManagerImpl,0,0
WebResourceFetcherImpl,0,0
NestedIterator,0,0
MwLocalDumpFile,0,66
MwSitesDumpFileProcessor,0,68
EntityTimerProcessor.TimeoutException,0,1
DumpProcessingController,0,146
MwRevisionImpl,0,49
JsonDumpFileProcessor,0,64
DumpProcessingController.ListenerRegistration,0,17
MwDumpFormatException,0,2
MwRevisionProcessorBroker.RevisionSubscription,0,3
DumpContentType,0,2
WikibaseRevisionProcessor,0,72
MwRevisionDumpFileProcessor,0,155
MwDumpFile.DateComparator,0,2
StatisticsMwRevisionProcessor,0,47
MwRevisionProcessorBroker,0,51
EntityTimerProcessor,0,42
WmfOnlineStandardDumpFile,0,46
WmfDumpFile,0,58
JsonOnlineDumpFile,0,29
WmfLocalDumpFile,0,19
WmfDumpFileManager,0,105
WmfOnlineDailyDumpFile,0,41
CountBitsArray,0,38
BitVectorImpl,0,112
FindPositionArray,0,46
BitVectorIterator,0,18
RankedBitVectorImpl,0,54
