Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
LINE_MISSED,4793.0,4793.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_MISSED,4.0,4.0,0.0
LINE_MISSED,4.0,4.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_MISSED,4793.0,4793.0,0.0
LINE_MISSED,4.0,4.0,0.0
LINE_MISSED,603.0,603.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_MISSED,4497.0,4497.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,4793.0,4793.0,0.0
LINE_MISSED,4.0,4.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_MISSED,4.0,4.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,4793.0,4793.0,0.0
LINE_MISSED,4.0,4.0,0.0
LINE_MISSED,4.0,4.0,0.0
LINE_COVERED,5.0,5.0,0.0
LINE_MISSED,4.0,4.0,0.0
