Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
LINE_MISSED,7490.0,7490.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,7490.0,7490.0,0.0
LINE_MISSED,7490.0,7490.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_COVERED,-3.0,0.0,-3.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,7490.0,7490.0,0.0
LINE_MISSED,0.0,0.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,0.0,0.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,988.0,988.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,7490.0,7490.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_COVERED,0.0,0.0,0.0
LINE_MISSED,3.0,3.0,0.0
LINE_MISSED,7490.0,7490.0,0.0
LINE_MISSED,4306.0,4306.0,0.0
LINE_COVERED,0.0,0.0,0.0
