Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
LINE_COVERED,-3.0,0.0,-3.0
LINE_MISSED,-48.0,0.0,-48.0
LINE_COVERED,-64.0,0.0,-64.0
LINE_MISSED,39.0,39.0,0.0
LINE_COVERED,-3.0,0.0,-3.0
LINE_MISSED,-48.0,0.0,-48.0
LINE_COVERED,-3.0,0.0,-3.0
LINE_COVERED,-3.0,0.0,-3.0
LINE_MISSED,-48.0,0.0,-48.0
LINE_MISSED,0.0,0.0,0.0
LINE_MISSED,39.0,39.0,0.0
LINE_COVERED,-64.0,0.0,-64.0
LINE_MISSED,39.0,39.0,0.0
LINE_MISSED,-48.0,0.0,-48.0
LINE_COVERED,-64.0,0.0,-64.0
LINE_COVERED,-3.0,0.0,-3.0
LINE_MISSED,127.0,127.0,0.0
LINE_COVERED,-64.0,0.0,-64.0
LINE_MISSED,0.0,0.0,0.0
LINE_COVERED,-3.0,0.0,-3.0
