Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
LINE_MISSED,-466.0,31.0,-497.0
LINE_MISSED,-494.0,31.0,-525.0
LINE_MISSED,-680.0,28.0,-708.0
LINE_MISSED,1857.0,2332.0,-475.0
LINE_MISSED,9.0,31.0,-22.0
LINE_MISSED,-466.0,31.0,-497.0
LINE_MISSED,9.0,31.0,-22.0
LINE_MISSED,-1154.0,28.0,-1182.0
LINE_MISSED,2331.0,2332.0,-1.0
LINE_MISSED,-466.0,31.0,-497.0
LINE_MISSED,0.0,31.0,-31.0
LINE_MISSED,-466.0,31.0,-497.0
LINE_MISSED,1857.0,2332.0,-475.0
LINE_MISSED,-488.0,31.0,-519.0
LINE_MISSED,-539.0,29.0,-568.0
