CLASS,LINE_COVERED,LINE_MISSED
SensitiveInfoUtils,0,0
SensitiveInfoUtils.new Function() {...},0,0
DefaultExecutorServiceHandler,0,0
DefaultJobExceptionHandler,0,0
JobExecutionEventThrowable,0,0
JobStatusTraceEvent.Source,0,0
JobExecutionEvent.ExecutionSource,0,0
JobStatusTraceEvent.State,0,0
JobExecutionEvent,0,0
JobStatusTraceEvent,0,0
StatisticInterval,0,0
RegException,0,0
RegExceptionHandler,0,0
MonitorExecutionListenerManager,0,0
ExecutionContextService,0,0
MonitorExecutionListenerManager.MonitorExecutionSettingsChangedJobListener,0,0
ShardingListenerManager,0,0
ShardingListenerManager.ShardingTotalCountChangedJobListener,0,0
ShardingService,0,0
ShardingNode,0,0
ShardingListenerManager.ListenServersChangedJobListener,0,0
ExecutionService,0,0
ShardingService.PersistShardingInfoTransactionExecutionCallback,0,0
BlockUtils,0,0
ExecutorServiceObject,0,0
AbstractJobConfigurationGsonTypeAdapter,0,0
GsonFactory,0,0
ElectionListenerManager,0,0
ElectionListenerManager.LeaderElectionJobListener,0,0
LeaderNode,0,0
ElectionListenerManager.LeaderAbdicationJobListener,0,0
LeaderService,0,0
LeaderService.LeaderElectionExecutionCallback,0,0
AbstractDistributeOnceElasticJobListener,0,0
TimeService,0,0
HostException,0,0
IpUtils,0,0
AbstractElasticJobExecutor.new Runnable() {...},0,0
AbstractElasticJobExecutor,0,0
JobExecutorFactory,0,0
ShardingContexts,0,0
JobProperties,0,0
ExecutorServiceHandlerRegistry,0,0
JobProperties.JobPropertiesEnum,0,0
ShardingItemParameters.ShardingItem,0,0
ShardingItems,0,0
ShardingItemParameters,0,0
ScriptJobConfiguration,0,0
SimpleJobExecutor,0,0
DataflowJobExecutor,0,0
ScriptJobExecutor,0,0
LiteJobConfigurationGsonFactory,0,0
LiteJobConfigurationConstants,0,0
ConfigurationNode,0,0
LiteJobConfigurationGsonFactory.LiteJobConfigurationGsonTypeAdapter,0,0
RescheduleListenerManager.CronSettingAndJobEventChangedJobListener,0,0
ConfigurationService,0,0
RescheduleListenerManager,0,0
MonitorService.new Thread() {...},0,0
MonitorService,0,0
ReconcileService,0,0
TaskContext.MetaInfo,0,0
ExecutionType,0,0
TaskContext.MetaInfo.new Function() {...},0,0
TaskContext,0,0
JobInstance,0,0
JobShardingStrategyFactory,0,0
GuaranteeListenerManager,0,0
GuaranteeNode,0,0
GuaranteeService,0,0
GuaranteeListenerManager.CompletedNodeRemovedJobListener,0,0
GuaranteeListenerManager.StartedNodeRemovedJobListener,0,0
ServerNode,0,0
ServerService,0,0
ServerStatus,0,0
JobConfigurationException,0,0
JobSystemException,0,0
ExceptionUtil,0,0
AppConfigurationException,0,0
JobExecutionEnvironmentException,0,0
JobStatisticException,0,0
DataflowJobConfiguration,0,0
ZookeeperElectionService,0,0
ZookeeperConfiguration,0,0
ZookeeperRegistryCenter,0,0
ZookeeperElectionService.new LeaderSelectorListenerAdapter() {...},0,0
ZookeeperRegistryCenter.new ACLProvider() {...},0,0
ZookeeperRegistryCenter.new Comparator() {...},0,0
InstanceNode,0,0
ShutdownListenerManager,0,0
ShutdownListenerManager.InstanceShutdownStatusJobListener,0,0
TriggerListenerManager.JobTriggerStatusJobListener,0,0
InstanceService,0,0
TriggerListenerManager,0,0
InstanceOperation,0,0
SimpleJobConfiguration,0,0
TaskResultStatistics,0,0
TaskRunningStatistics,0,0
JobEventRdbSearch.Condition,0,0
JobEventRdbListener,0,0
JobEventRdbIdentity,0,0
JobEventRdbStorage,0,0
DatabaseType.new Predicate() {...},0,0
JobEventRdbConfiguration,0,0
DatabaseType,0,0
JobEventRdbSearch.Result,0,0
JobEventRdbSearch,0,0
JobCoreConfiguration,0,0
JobCoreConfiguration.Builder,0,0
LiteJobConfiguration.Builder,0,0
LiteJobConfiguration,0,0
ListenerManager,0,0
RegistryCenterConnectionStateListener,0,0
AbstractListenerManager,0,0
AbstractJobListener,0,0
StatisticRdbRepository,0,0
JobEventListenerConfigurationException,0,0
JobEventBus,0,0
AverageAllocationJobShardingStrategy,0,0
OdevitySortByNameJobShardingStrategy,0,0
RotateServerByNameJobShardingStrategy,0,0
Encryption,0,0
FailoverService.FailoverLeaderExecutionCallback,0,0
FailoverNode,0,0
FailoverListenerManager.JobCrashedJobListener,0,0
FailoverListenerManager,0,0
FailoverListenerManager.FailoverSettingsChangedJobListener,0,0
FailoverService,0,0
JobType,0,0
ShardingContext,0,0
