CLASS,LINE_COVERED,LINE_MISSED
UnsupportedMessageType,0,0
InvalidMessage,0,0
NMEAParseException,4,-4
UTCAndDateResponse,0,0
GNSSBinaryBroadcastMessage,0,0
CachedDecodedValues,0,0
PositionReportClassAScheduled,0,0
SafetyRelatedAcknowledge,0,0
GroupAssignmentCommand,0,0
UTCAndDateInquiry,0,0
AddressedSafetyRelatedMessage,0,0
AddressedBinaryMessage,0,0
SafetyRelatedBroadcastMessage,0,0
PositionReportClassAAssignedSchedule,0,0
AidToNavigationReport,0,0
PositionReportClassAResponseToInterrogation,0,0
PositionReport,0,0
BinaryMessageMultipleSlot,0,0
DataLinkManagement,0,0
ChannelManagement,0,0
AISMessage,10,-10
StandardClassBCSPositionReport,0,0
ShipAndVoyageData,0,0
ClassBCSStaticDataReport,0,0
Interrogation,0,0
LongRangeBroadcastMessage,0,0
BaseStationReport,0,0
ExtendedClassBEquipmentPositionReport,0,0
BinaryMessageSingleSlot,0,0
StandardSARAircraftPositionReport,0,0
Error,0,0
Metadata,5,-5
BinaryBroadcastMessage,0,0
AssignedModeCommand,0,0
BinaryAcknowledge,0,0
NMEAMessage,1,-1
UnsupportedMessageType,0,0
InvalidAISMessage,0,0
AISInputStreamReader,0,0
Decoders,0,0
Decoders.new Function() {...},0,0
SimpleDemoApp,0,0
SocketDemoApp,0,0
NMEAMessageInputStreamReader,0,0
NMEAMessageHandler,0,0
NMEAMessageSocketClient,0,0
ManeuverIndicator,0,0
ReportingInterval,0,0
AISMessageType,1,-1
TransponderClass,0,0
ShipType,0,0
StationType,0,0
SOTDMACommunicationState,0,0
AidType,0,0
TxRxMode,0,0
PositionFixingDevice,0,0
ITDMACommunicationState,0,0
CommunicationState,0,0
SyncState,0,0
NavigationStatus,0,0
MMSI,0,0
IMO,0,0
ExtendedShipStaticAndVoyageRelatedData.IceClass,0,0
ExtendedShipStaticAndVoyageRelatedData.BallastStatus,0,0
BerthingData,0,0
ApplicationSpecificMessage,0,0
ExtendedShipStaticAndVoyageRelatedData.BunkerOilStatus,0,0
NumberOfPersonsOnBoard,0,0
UnknownApplicationSpecificMessage,0,0
BerthingData.MooringPosition,0,0
ExtendedShipStaticAndVoyageRelatedData,0,0
InlandShipStaticAndVoyageRelatedData,0,0
ExtendedShipStaticAndVoyageRelatedData.SolasEquipmentStatus,0,0
BerthingData.ServiceStatus,0,0
