CLASS,LINE_COVERED,LINE_MISSED
FileAlterationListenerAdaptor,0,0
FileAlterationObserver,0,0
FileEntry,0,0
FileAlterationMonitor,0,0
SerializableFileTime,0,0
ValidatingObjectInputStream,0,0
RegexpClassNameMatcher,0,0
WildcardClassNameMatcher,0,0
FullClassNameMatcher,0,0
PeekableInputStream,0,0
CircularByteBuffer,0,0
CircularBufferInputStream,0,0
FileExistsException,0,0
DirectoryWalker,0,0
EndianUtils,0,0
FileUtils,0,0
FilenameUtils,0,0
RandomAccessFileMode,0,0
FileSystemUtils,0,0
ThreadUtils,0,0
StreamIterator,0,0
FileCleaningTracker.Reaper,0,0
Charsets,0,0
CloseableURLConnection,0,0
IOIndexedException,0,0
FileCleaningTracker.Tracker,0,0
IOExceptionList,0,0
FileCleaner,0,0
RandomAccessFiles,0,0
FileDeleteStrategy.ForceFileDeleteStrategy,0,0
StandardLineSeparator,0,0
IOExceptionWithCause,0,0
HexDump,0,0
ByteOrderMark,0,0
IOCase,0,0
IO,0,0
DirectoryWalker.CancelException,0,0
LineIterator,0,0
ThreadMonitor,0,0
UncheckedIOExceptions,0,0
ByteOrderParser,0,0
FileDeleteStrategy,0,0
FileSystem,0,0
IOUtils,0,0
FileCleaningTracker,0,0
TaggedIOException,0,0
CopyUtils,0,0
CharsetEncoders,0,0
CharsetDecoders,0,0
AbstractSupplier,0,0
AbstractOrigin.FileOrigin,0,0
AbstractOrigin.PathOrigin,0,0
AbstractOrigin.URIOrigin,0,0
AbstractOrigin.CharSequenceOrigin,0,0
AbstractOrigin.ReaderOrigin,0,0
AbstractOrigin.InputStreamOrigin,0,0
AbstractOrigin.OutputStreamOrigin,0,0
AbstractOriginSupplier,0,0
AbstractStreamBuilder,0,0
AbstractOrigin.WriterOrigin,0,0
AbstractOrigin.ByteArrayOrigin,0,0
AbstractOrigin,0,0
NameFileComparator,0,0
DirectoryFileComparator,0,0
SizeFileComparator,0,0
LastModifiedFileComparator,0,0
PathFileComparator,0,0
ReverseFileComparator,0,0
CompositeFileComparator,0,0
DefaultFileComparator,0,0
AbstractFileComparator,0,0
ExtensionFileComparator,0,0
CloseShieldReader,0,0
Tailer.TailablePath,0,0
ClosedInputStream,0,0
UnsupportedOperationExceptions,0,0
CharacterFilterReader,0,0
BoundedInputStream.AbstractBuilder,0,0
BrokenReader,0,0
Tailer.Builder,0,0
UnsynchronizedByteArrayInputStream,0,0
ReadAheadInputStream.Builder,0,0
MemoryMappedFileInputStream,0,0
CharSequenceInputStream.Builder,0,0
UnsynchronizedBufferedInputStream,0,0
BufferedFileChannelInputStream.Builder,0,0
MessageDigestInputStream,0,0
SequenceReader,0,0
UncheckedFilterInputStream,0,0
ByteBufferCleaner.Java9Cleaner,0,0
MessageDigestCalculatingInputStream.MessageDigestMaintainingObserver,0,0
BoundedInputStream.Builder,0,0
XmlStreamReader,0,0
QueueInputStream,0,0
ThrottledInputStream,0,0
RandomAccessFileInputStream.Builder,0,0
ChecksumInputStream,0,0
Tailer.RandomAccessFileBridge,0,0
UnsynchronizedFilterInputStream,0,0
CloseShieldInputStream,0,0
WindowsLineEndingInputStream,0,0
BoundedInputStream,0,0
BufferedFileChannelInputStream,0,0
BOMInputStream,0,0
XmlStreamReaderException,0,0
UncheckedFilterInputStream.Builder,0,0
Tailer,-2,2
ThrottledInputStream.Builder,0,0
NullInputStream,0,0
UnsynchronizedBufferedInputStream.Builder,0,0
DemuxInputStream,0,0
MessageDigestInputStream.Builder,0,0
ProxyInputStream,0,0
AbstractCharacterFilterReader,0,0
MessageDigestCalculatingInputStream,0,0
TimestampedObserver,0,0
ClosedReader,0,0
UnixLineEndingInputStream,0,0
ReaderInputStream.Builder,0,0
ReversedLinesFileReader.FilePart,0,0
CountingInputStream,0,0
ByteBufferCleaner.Java8Cleaner,0,0
