CLASS,LINE_COVERED,LINE_MISSED
Main,0,31
MetricsVerticle,0,15
KafkaResource,0,16
AppResource,0,2
RouterFunction,0,0
FreeMarkerTemplateRenderer,0,0
MethodFinder,0,0
MethodFinder.UnableToGuessMethodException,0,0
Router,0,0
DiscoveryRecordInjector,0,0
DiscoveryPlugin,0,0
DiscoveryWebClientInjector,0,0
FCSPlugin,0,0
Plugin,0,0
RedpipeUtil,0,0
MockMailer,0,0
MockMailer.SentMail,0,0
Mail,0,0
ProdMailer,0,0
AbstractTemplate.TemplateVariants,0,0
Template,0,0
TemplateResponseFilter,0,0
AbstractTemplate,0,0
MyBeanConfig,0,0
AppGlobals,0,0
Server.new ServletConfig() {...},0,0
Mode,0,0
Server,0,0
VertxPermissionAnnotationHandler,0,0
AuthorizationException,0,0
AuthorizationExceptionMapper,0,0
AuthenticationExceptionMapper,0,0
AuthorizationFilterFeature,0,0
LoginRedirectFilter,0,0
AuthorizingAnnotationHandler,0,0
BaseSecurityResource,0,0
VertxUserAnnotationHandler,0,0
AuthorizationFilter,0,0
AuthenticationException,0,0
AppGlobalsContextProvider,0,0
MaybeProvider.MaybeAdaptor,0,0
MaybeProvider,0,0
CompletableProvider,0,0
CompletableProvider.CompletableAdaptor,0,0
PermissionInjector,0,0
FileResource,0,0
DefaultExceptionMapper,0,0
BufferBodyWriter,0,0
RxVertxProvider,0,0
JsonObjectBodyWriter,0,0
JsonObjectBodyReader,0,0
SQLConnectionInjector,0,0
ResteasyFilterContext,0,0
RedpipeServletContext,0,0
VertxHttpResponseWithWorkaround,0,0
VertxPluginRequestHandler,0,0
PluginRequestDispatcher,0,0
CompletableProvider.CompletableAdaptor,0,0
CompletableProvider,0,0
RxModelConverter,0,0
SQLUtil,0,0
CdiPlugin.new InitialContextFactoryBuilder() {...},0,0
CdiPlugin.1.1.new InitialContext() {...},0,0
CdiGlobalProvider,0,0
CdiPlugin,0,0
App,0,0
CdiPlugin.1.new InitialContextFactory() {...},0,0
