CLASS,LINE_COVERED,LINE_MISSED
FormIdValueImpl.JacksonInnerEntityId,0,0
SnakGroupImpl,0,0
TimeValueImpl,0,0
SitesImpl.SiteInformation,0,0
TermedStatementDocumentImpl.AliasesDeserializer,0,0
SenseIdValueImpl.JacksonInnerEntityId,0,0
DatatypeIdImpl,0,0
LexemeIdValueImpl,0,0
FormDocumentImpl,0,0
SiteLinkImpl,0,0
ClaimImpl,0,0
ValueImpl,0,0
FormIdValueImpl,0,0
LexemeDocumentImpl,0,0
TimeValueImpl.JacksonInnerTime,0,0
StatementImpl.StatementRankSerializer,0,0
SnakImpl,0,0
StatementDocumentImpl,0,0
TermImpl,0,0
EntityDocumentImpl.NonZeroFilter,0,0
PropertyIdValueImpl,0,0
GlobeCoordinatesValueImpl,0,0
StatementGroupImpl,0,0
StatementImpl,0,0
SenseIdValueImpl,0,0
NoValueSnakImpl,0,0
EntityIdValueImpl,0,0
QuantityValueImpl,0,0
StatementImpl.StatementRankDeserializer,0,0
SitesImpl,0,0
EntityDocumentImpl,0,0
TermedStatementDocumentImpl,0,0
PropertyDocumentImpl,0,0
GlobeCoordinatesValueImpl.JacksonInnerGlobeCoordinates,0,0
MonolingualTextValueImpl.JacksonInnerMonolingualText,0,0
StringValueImpl,0,0
EntityIdValueImpl.JacksonInnerEntityId,0,0
SomeValueSnakImpl,0,0
ItemDocumentImpl,0,0
ItemIdValueImpl,0,0
SenseDocumentImpl,0,0
ValueImpl.JacksonDeserializer,0,0
ReferenceImpl,0,0
ValueSnakImpl,0,0
QuantityValueImpl.JacksonInnerQuantity,0,0
MonolingualTextValueImpl,0,0
EntityRedirectDocumentImpl,0,0
DataObjectFactoryImpl,0,0
StatementImpl.PreStatement,0,0
EntityDocumentProcessorBroker,0,0
LexemeIdValue.new LexemeIdValue() {...},0,0
StatementDocument,0,0
ItemIdValue,0,0
ItemIdValue.new ItemIdValue() {...},0,0
LexemeIdValue,0,0
TermedDocument,0,0
EntityDocumentProcessorFilter,0,0
DocumentDataFilter,0,0
PropertyIdValue.new PropertyIdValue() {...},0,0
StatementRank,0,0
WikimediaLanguageCodes,0,0
EntityDocumentProcessor,0,0
PropertyIdValue,0,0
Hash,0,0
DatamodelConverter,0,0
DatamodelMapper,0,0
ReferenceBuilder,0,0
Datamodel,0,0
JsonSerializer,0,0
AbstractDataObjectBuilder,0,0
DatamodelFilter,0,0
Equality,0,0
DataFormatter,0,0
ToString,0,0
StatementBuilder,0,0
PropertyDocumentBuilder,0,0
ItemDocumentBuilder,0,0
EntityDocumentBuilder,0,0
MockStringContentFactory,0,0
MockWebResourceFetcher,0,0
MockDirectoryManager,0,0
MockOutputStream,0,0
SchemaUsageAnalyzer.PropertyRecord.new Comparator() {...},0,2
SchemaUsageAnalyzer.EntityStatistics,0,6
SchemaUsageAnalyzer.UsageRecord.new Comparator() {...},0,2
DumpProcessingOutputAction,0,69
RdfSerializationAction,0,102
SchemaUsageAnalyzer.SiteRecord,0,6
SchemaUsageAnalyzer.UsageRecord,0,22
SchemaUsageAnalyzer,0,327
SchemaUsageAnalyzer.PropertyRecord,0,17
ClientConfiguration,0,240
DumpProcessingOutputAction.new Closeable() {...},0,3
SchemaUsageAnalyzer.ClassRecord,0,14
Client,0,134
DumpProcessingOutputAction.new DumpProcessingOutputAction.FinishableRunnable() {...},0,16
JsonSerializationAction,0,28
JacksonWbSearchEntitiesResult,0,93
TermStatementUpdate.AliasesWithUpdate,0,6
NeedLoginTokenException,0,2
StatementUpdate.StatementWithUpdate,0,4
LoginFailedException,0,4
WbGetEntitiesSearchData,0,7
WbGetEntitiesAction,0,53
WbGetEntitiesActionData,0,7
StatementUpdate,0,189
WbSearchEntitiesAction,0,40
JacksonWbSearchEntitiesResult.JacksonMatch,0,38
WikibaseDataFetcher,0,97
ApiConnection,0,201
WbEditingAction,0,157
BasicApiConnection,0,21
StatementUpdate.DeletedStatement,0,14
WikibaseDataEditor,0,77
RandomGuidGenerator,0,7
TermStatementUpdate.NameWithUpdate,0,4
TermStatementUpdate,0,156
NoSuchEntityErrorException,0,2
MediaWikiApiErrorException,0,6
MediaWikiApiErrorHandler,0,7
MaxlagErrorException,0,2
TokenErrorException,0,2
EditConflictErrorException,0,2
AnyValueConverter,0,25
GlobeCoordinatesValueConverter,0,41
EntityIdValueConverter,0,11
QuantityValueConverter,0,28
MonolingualTextValueConverter,0,11
TimeValueConverter,0,30
StringValueConverter,0,29
AbstractValueConverter,0,9
BufferedValueConverter,0,18
ReferenceRdfConverter,0,30
PropertyContext,0,2
SnakRdfConverter,0,80
RdfConverter,0,237
RankBuffer,0,14
RdfWriter,0,136
PropertyRegister,0,89
Vocabulary,0,119
OwlDeclarationBuffer,0,85
SnakRdfConverter.PropertyRestriction,0,5
RdfSerializer,0,36
DirectoryManagerFactory,0,0
CompressionType,0,0
Timer,0,0
DirectoryManagerImpl,0,0
WebResourceFetcherImpl,0,0
NestedIterator,0,0
MwLocalDumpFile,0,0
MwSitesDumpFileProcessor,0,0
EntityTimerProcessor.TimeoutException,0,0
DumpProcessingController,0,0
MwRevisionImpl,0,0
JsonDumpFileProcessor,0,0
DumpProcessingController.ListenerRegistration,0,0
MwDumpFormatException,0,0
MwRevisionProcessorBroker.RevisionSubscription,0,0
DumpContentType,0,0
WikibaseRevisionProcessor,0,0
MwRevisionDumpFileProcessor,0,0
MwDumpFile.DateComparator,0,0
StatisticsMwRevisionProcessor,0,0
MwRevisionProcessorBroker,0,0
EntityTimerProcessor,0,0
WmfOnlineStandardDumpFile,0,0
WmfDumpFile,0,0
JsonOnlineDumpFile,0,0
WmfLocalDumpFile,0,0
WmfDumpFileManager,0,0
WmfOnlineDailyDumpFile,0,0
CountBitsArray,0,0
BitVectorImpl,0,0
FindPositionArray,0,0
BitVectorIterator,0,0
RankedBitVectorImpl,0,0
