Module,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines
awscli/__init__.py,0,4,14,14,0,4,14,10,-4
awscli/alias.py,1,69,109,109,0,68,108,40,-68
awscli/argparser.py,6,63,94,94,0,57,88,31,-57
awscli/argprocess.py,14,181,248,248,0,167,234,67,-167
awscli/arguments.py,12,73,240,240,0,61,228,167,-61
awscli/bcdoc/__init__.py,0,0,1,1,0,0,1,1,0
awscli/bcdoc/docevents.py,0,33,35,35,0,33,35,2,-33
awscli/bcdoc/docstringparser.py,2,71,119,119,0,69,117,48,-69
awscli/bcdoc/restdoc.py,1,68,116,116,0,67,115,48,-67
awscli/bcdoc/style.py,17,198,288,288,0,181,271,90,-181
awscli/bcdoc/textwriter.py,290,335,556,556,0,45,266,221,-45
awscli/clidocs.py,4,449,546,546,0,445,542,97,-445
awscli/clidriver.py,14,127,348,348,0,113,334,221,-113
awscli/commands.py,2,6,20,20,0,4,18,14,-4
awscli/compat.py,123,197,267,267,0,74,144,70,-74
awscli/completer.py,17,81,98,98,0,64,81,17,-64
awscli/customizations/__init__.py,0,0,1,1,0,0,1,1,0
awscli/customizations/addexamples.py,0,13,18,18,0,13,18,5,-13
awscli/customizations/argrename.py,0,0,21,21,0,0,21,21,0
awscli/customizations/arguments.py,0,32,103,103,0,32,103,71,-32
awscli/customizations/assumerole.py,0,9,18,18,0,9,18,9,-9
awscli/customizations/awslambda.py,1,25,64,64,0,24,63,39,-24
awscli/customizations/binaryhoist.py,1,14,48,48,0,13,47,34,-13
awscli/customizations/cliinputjson.py,0,13,32,32,0,13,32,19,-13
awscli/customizations/cloudformation/__init__.py,0,0,7,7,0,0,7,7,0
awscli/customizations/cloudformation/artifact_exporter.py,4,166,320,320,0,162,316,154,-162
awscli/customizations/cloudformation/deploy.py,0,53,77,77,0,53,77,24,-53
awscli/customizations/cloudformation/deployer.py,3,74,92,92,0,71,89,18,-71
awscli/customizations/cloudformation/exceptions.py,0,3,24,24,0,3,24,21,-3
awscli/customizations/cloudformation/package.py,9,28,47,47,0,19,38,19,-19
awscli/customizations/cloudformation/yamlhelper.py,0,26,40,40,0,26,40,14,-26
awscli/customizations/cloudfront.py,1,35,94,94,0,34,93,59,-34
awscli/customizations/cloudsearch.py,2,13,23,23,0,11,21,10,-11
awscli/customizations/cloudsearchdomain.py,0,2,6,6,0,2,6,4,-2
awscli/customizations/cloudtrail/__init__.py,0,0,8,8,0,0,8,8,0
awscli/customizations/cloudtrail/subscribe.py,36,129,162,162,0,93,126,33,-93
awscli/customizations/cloudtrail/utils.py,0,8,11,11,0,8,11,3,-8
awscli/customizations/cloudtrail/validation.py,8,304,402,402,0,296,394,98,-296
awscli/customizations/codeartifact/__init__.py,0,0,5,5,0,0,5,5,0
awscli/customizations/codeartifact/login.py,9,271,361,361,0,262,352,90,-262
awscli/customizations/codecommit.py,3,51,102,102,0,48,99,51,-48
awscli/customizations/codedeploy/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/codedeploy/codedeploy.py,0,0,21,21,0,0,21,21,0
awscli/customizations/codedeploy/deregister.py,12,64,79,79,0,52,67,15,-52
awscli/customizations/codedeploy/install.py,6,35,50,50,0,29,44,15,-29
awscli/customizations/codedeploy/locationargs.py,1,22,45,45,0,21,44,23,-21
awscli/customizations/codedeploy/push.py,3,72,98,98,0,69,95,26,-69
awscli/customizations/codedeploy/register.py,3,46,62,62,0,43,59,16,-43
awscli/customizations/codedeploy/systems.py,15,71,109,109,0,56,94,38,-56
awscli/customizations/codedeploy/uninstall.py,6,21,32,32,0,15,26,11,-15
awscli/customizations/codedeploy/utils.py,0,46,66,66,0,46,66,20,-46
awscli/customizations/commands.py,2,103,229,229,0,101,227,126,-101
awscli/customizations/configservice/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/configservice/getstatus.py,0,39,58,58,0,39,58,19,-39
awscli/customizations/configservice/putconfigurationrecorder.py,0,14,29,29,0,14,29,15,-14
awscli/customizations/configservice/rename_cmd.py,0,0,5,5,0,0,5,5,0
awscli/customizations/configservice/subscribe.py,0,51,83,83,0,51,83,32,-51
awscli/customizations/configure/__init__.py,0,12,24,24,0,12,24,12,-12
awscli/customizations/configure/addmodel.py,0,25,37,37,0,25,37,12,-25
awscli/customizations/configure/configure.py,0,34,67,67,0,34,67,33,-34
awscli/customizations/configure/get.py,1,43,65,65,0,42,64,22,-42
awscli/customizations/configure/list.py,4,35,52,52,0,31,48,17,-31
awscli/customizations/configure/set.py,0,39,57,57,0,39,57,18,-39
awscli/customizations/configure/writer.py,1,101,116,116,0,100,115,15,-100
awscli/customizations/datapipeline/__init__.py,19,122,186,186,0,103,167,64,-103
awscli/customizations/datapipeline/constants.py,0,0,6,6,0,0,6,6,0
awscli/customizations/datapipeline/createdefaultroles.py,11,52,77,77,0,41,66,25,-41
awscli/customizations/datapipeline/listrunsformatter.py,0,22,30,30,0,22,30,8,-22
awscli/customizations/datapipeline/translator.py,3,103,121,121,0,100,118,18,-100
awscli/customizations/dlm/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/dlm/constants.py,0,0,9,9,0,0,9,9,0
awscli/customizations/dlm/createdefaultrole.py,3,40,59,59,0,37,56,19,-37
awscli/customizations/dlm/dlm.py,0,0,5,5,0,0,5,5,0
awscli/customizations/dlm/iam.py,0,16,24,24,0,16,24,8,-16
awscli/customizations/dynamodb.py,0,8,22,22,0,8,22,14,-8
awscli/customizations/ec2/__init__.py,0,0,0,0,0,0,0,0,0
awscli/customizations/ec2/addcount.py,3,19,50,50,0,16,47,31,-16
awscli/customizations/ec2/bundleinstance.py,0,31,72,72,0,31,72,41,-31
awscli/customizations/ec2/decryptpassword.py,8,33,63,63,0,25,55,30,-25
awscli/customizations/ec2/paginate.py,0,15,27,27,0,15,27,12,-15
awscli/customizations/ec2/protocolarg.py,0,10,15,15,0,10,15,5,-10
awscli/customizations/ec2/runinstances.py,4,46,77,77,0,42,73,31,-42
awscli/customizations/ec2/secgroupsimplify.py,11,58,99,99,0,47,88,41,-47
awscli/customizations/ecr.py,0,22,40,40,0,22,40,18,-22
awscli/customizations/ecr_public.py,0,8,20,20,0,8,20,12,-8
awscli/customizations/ecs/__init__.py,0,0,8,8,0,0,8,8,0
awscli/customizations/ecs/deploy.py,13,142,189,189,0,129,176,47,-129
awscli/customizations/ecs/exceptions.py,0,3,18,18,0,3,18,15,-3
awscli/customizations/ecs/executecommand.py,0,31,49,49,0,31,49,18,-31
