File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
cloudinit/__init__.py,0,0,0,0,0,0,0,0,0,
cloudinit/analyze/__init__.py,35,94,110,110,0,59,75,16,-59,
cloudinit/analyze/dump.py,14,84,98,98,0,70,84,14,-70,
cloudinit/analyze/show.py,81,124,156,156,0,43,75,32,-43,
cloudinit/apport.py,24,76,97,96,-1,52,73,20,-53,
cloudinit/atomic_helper.py,6,32,46,46,0,26,40,14,-26,
cloudinit/cloud.py,5,17,51,51,0,12,46,34,-12,
cloudinit/cmd/__init__.py,0,0,0,0,0,0,0,0,0,
cloudinit/cmd/clean.py,7,55,74,73,-1,48,67,18,-49,
cloudinit/cmd/cloud_id.py,1,35,48,47,-1,34,47,12,-35,
cloudinit/cmd/devel/__init__.py,0,5,9,8,-1,5,9,3,-6,
cloudinit/cmd/devel/hotplug_hook.py,30,112,153,152,-1,82,123,40,-83,
cloudinit/cmd/devel/logs.py,20,94,128,127,-1,74,108,33,-75,
cloudinit/cmd/devel/net_convert.py,12,68,84,83,-1,56,72,15,-57,
cloudinit/cmd/devel/render.py,3,41,54,53,-1,38,51,12,-39,
cloudinit/cmd/main.py,219,474,525,525,0,255,306,51,-255,
cloudinit/cmd/query.py,4,114,134,133,-1,110,130,19,-111,
cloudinit/cmd/status.py,7,143,198,197,-1,136,191,54,-137,
cloudinit/config/__init__.py,0,0,1,1,0,0,1,1,0,
cloudinit/config/cc_ansible.py,18,110,154,154,0,92,136,44,-92,
cloudinit/config/cc_apk_configure.py,4,26,43,42,-1,22,39,16,-23,
cloudinit/config/cc_apt_configure.py,50,498,570,569,-1,448,520,71,-449,
cloudinit/config/cc_apt_pipelining.py,3,12,29,28,-1,9,26,16,-10,
cloudinit/config/cc_bootcmd.py,0,18,32,31,-1,18,32,13,-19,
cloudinit/config/cc_byobu.py,38,38,52,51,-1,0,14,13,-1,
cloudinit/config/cc_ca_certs.py,4,62,87,86,-1,58,83,24,-59,
cloudinit/config/cc_chef.py,46,118,161,160,-1,72,115,42,-73,
cloudinit/config/cc_disable_ec2_metadata.py,1,11,26,25,-1,10,25,14,-11,
cloudinit/config/cc_disk_setup.py,308,421,471,470,-1,113,163,49,-114,
cloudinit/config/cc_fan.py,28,28,44,43,-1,0,16,15,-1,
cloudinit/config/cc_final_message.py,5,26,42,41,-1,21,37,15,-22,
cloudinit/config/cc_growpart.py,92,249,309,308,-1,157,217,59,-158,
cloudinit/config/cc_grub_dpkg.py,14,62,81,80,-1,48,67,18,-49,
cloudinit/config/cc_install_hotplug.py,1,20,37,36,-1,19,36,16,-20,
cloudinit/config/cc_keyboard.py,2,12,26,25,-1,10,24,13,-11,
cloudinit/config/cc_keys_to_console.py,7,21,37,36,-1,14,30,15,-15,
cloudinit/config/cc_landscape.py,2,18,38,37,-1,16,36,19,-17,
cloudinit/config/cc_locale.py,3,9,22,21,-1,6,19,12,-7,
cloudinit/config/cc_lxd.py,47,180,203,202,-1,133,156,22,-134,
cloudinit/config/cc_mcollective.py,10,42,63,62,-1,32,53,20,-33,
cloudinit/config/cc_mounts.py,61,295,332,331,-1,234,271,36,-235,
cloudinit/config/cc_ntp.py,25,143,175,174,-1,118,150,31,-119,
cloudinit/config/cc_package_update_upgrade_install.py,28,49,70,69,-1,21,42,20,-22,
cloudinit/config/cc_phone_home.py,7,43,59,58,-1,36,52,15,-37,
cloudinit/config/cc_power_state_change.py,75,106,133,132,-1,31,58,26,-32,
cloudinit/config/cc_puppet.py,16,114,142,141,-1,98,126,27,-99,
cloudinit/config/cc_reset_rmc.py,46,46,69,68,-1,0,23,22,-1,
cloudinit/config/cc_resizefs.py,14,110,140,139,-1,96,126,29,-97,
cloudinit/config/cc_resolv_conf.py,2,31,46,45,-1,29,44,14,-30,
cloudinit/config/cc_rh_subscription.py,53,218,249,248,-1,165,196,30,-166,
cloudinit/config/cc_rightscale_userdata.py,35,35,53,53,0,0,18,18,0,
cloudinit/config/cc_rsyslog.py,53,171,206,205,-1,118,153,34,-119,
cloudinit/config/cc_runcmd.py,0,10,25,24,-1,10,25,14,-11,
cloudinit/config/cc_salt_minion.py,18,42,59,58,-1,24,41,16,-25,
cloudinit/config/cc_scripts_per_boot.py,6,6,22,21,-1,0,16,15,-1,
cloudinit/config/cc_scripts_per_instance.py,6,6,21,20,-1,0,15,14,-1,
cloudinit/config/cc_scripts_per_once.py,6,6,22,21,-1,0,16,15,-1,
cloudinit/config/cc_scripts_user.py,6,6,21,20,-1,0,15,14,-1,
cloudinit/config/cc_scripts_vendor.py,7,7,23,22,-1,0,16,15,-1,
cloudinit/config/cc_seed_random.py,4,41,59,58,-1,37,55,17,-38,
cloudinit/config/cc_set_hostname.py,2,29,47,46,-1,27,45,17,-28,
cloudinit/config/cc_set_passwords.py,27,116,139,138,-1,89,112,22,-90,
cloudinit/config/cc_snap.py,7,38,57,56,-1,31,50,18,-32,
cloudinit/config/cc_spacewalk.py,8,29,47,46,-1,21,39,17,-22,
cloudinit/config/cc_ssh.py,23,112,145,144,-1,89,122,32,-90,
cloudinit/config/cc_ssh_authkey_fingerprints.py,44,44,64,63,-1,0,20,19,-1,
cloudinit/config/cc_ssh_import_id.py,41,70,89,88,-1,29,48,18,-30,
cloudinit/config/cc_timezone.py,3,7,20,19,-1,4,17,12,-5,
cloudinit/config/cc_ubuntu_advantage.py,3,178,207,206,-1,175,204,28,-176,
cloudinit/config/cc_ubuntu_autoinstall.py,0,20,36,35,-1,20,36,15,-21,
cloudinit/config/cc_ubuntu_drivers.py,1,42,66,65,-1,41,65,23,-42,
cloudinit/config/cc_update_etc_hosts.py,6,21,35,34,-1,15,29,13,-16,
cloudinit/config/cc_update_hostname.py,20,20,35,34,-1,0,15,14,-1,
cloudinit/config/cc_users_groups.py,2,21,36,35,-1,19,34,14,-20,
cloudinit/config/cc_wireguard.py,18,81,106,105,-1,63,88,24,-64,
cloudinit/config/cc_write_files.py,4,59,80,79,-1,55,76,20,-56,
cloudinit/config/cc_write_files_deferred.py,2,6,20,19,-1,4,18,13,-5,
cloudinit/config/cc_yum_add_repo.py,8,54,77,76,-1,46,69,22,-47,
cloudinit/config/cc_zypper_add_repo.py,12,69,90,89,-1,57,78,20,-58,
cloudinit/config/modules.py,45,148,179,179,0,103,134,31,-103,
cloudinit/config/schema.py,60,461,762,761,-1,401,702,300,-402,
cloudinit/distros/__init__.py,168,541,692,692,0,373,524,151,-373,
cloudinit/distros/alpine.py,46,99,134,134,0,53,88,35,-53,
