File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
perceval/_version.py,0,0,1,1,0,0,1,1,0,
perceval/archive.py,159,159,194,194,0,0,35,35,0,
perceval/backend.py,321,321,421,421,0,0,100,100,0,
perceval/backends/core/__init__.py,0,0,2,2,0,0,2,2,0,
perceval/backends/core/askbot.py,191,191,260,260,0,0,69,69,0,
perceval/backends/core/bugzilla.py,162,162,240,240,0,0,78,78,0,
perceval/backends/core/bugzillarest.py,140,140,220,220,0,0,80,80,0,
perceval/backends/core/confluence.py,128,128,192,192,0,0,64,64,0,
perceval/backends/core/discourse.py,118,118,174,174,0,0,56,56,0,
perceval/backends/core/dockerhub.py,34,34,74,74,0,0,40,40,0,
perceval/backends/core/gerrit.py,214,214,272,272,0,0,58,58,0,
perceval/backends/core/git.py,447,447,552,552,0,0,105,105,0,
perceval/backends/core/github.py,454,454,578,578,0,0,124,124,0,
perceval/backends/core/githubql.py,63,63,102,102,0,0,39,39,0,
perceval/backends/core/gitlab.py,247,247,342,342,0,0,95,95,0,
perceval/backends/core/gitter.py,97,97,145,145,0,0,48,48,0,
perceval/backends/core/googlehits.py,52,52,92,92,0,0,40,40,0,
perceval/backends/core/groupsio.py,99,99,148,148,0,0,49,49,0,
perceval/backends/core/hyperkitty.py,78,78,116,116,0,0,38,38,0,
perceval/backends/core/jenkins.py,98,98,145,145,0,0,47,47,0,
perceval/backends/core/jira.py,131,131,192,192,0,0,61,61,0,
perceval/backends/core/launchpad.py,157,157,233,233,0,0,76,76,0,
perceval/backends/core/mattermost.py,127,127,189,189,0,0,62,62,0,
perceval/backends/core/mbox.py,146,146,202,202,0,0,56,56,0,
perceval/backends/core/mediawiki.py,208,208,290,290,0,0,82,82,0,
perceval/backends/core/meetup.py,118,118,186,186,0,0,68,68,0,
perceval/backends/core/nntp.py,109,109,163,163,0,0,54,54,0,
perceval/backends/core/pagure.py,107,107,166,166,0,0,59,59,0,
perceval/backends/core/phabricator.py,209,209,289,289,0,0,80,80,0,
perceval/backends/core/pipermail.py,90,90,131,131,0,0,41,41,0,
perceval/backends/core/redmine.py,110,110,180,180,0,0,70,70,0,
perceval/backends/core/rocketchat.py,89,89,142,142,0,0,53,53,0,
perceval/backends/core/rss.py,29,29,62,62,0,0,33,33,0,
perceval/backends/core/slack.py,132,132,198,198,0,0,66,66,0,
perceval/backends/core/stackexchange.py,85,85,142,142,0,0,57,57,0,
perceval/backends/core/supybot.py,102,102,165,165,0,0,63,63,0,
perceval/backends/core/telegram.py,79,79,124,124,0,0,45,45,0,
perceval/backends/core/twitter.py,99,99,156,156,0,0,57,57,0,
perceval/client.py,88,88,131,131,0,0,43,43,0,
perceval/errors.py,6,6,29,29,0,0,23,23,0,
perceval/utils.py,90,90,109,109,0,0,19,19,0,
,5413,5413,7749,7749,0,0,2336,2336,0,Total
