File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
reactivex/__init__.py,2,2,140,138,-2,0,138,136,-2,
reactivex/_version.py,0,0,1,1,0,0,1,1,0,
reactivex/abc/__init__.py,0,0,8,8,0,0,8,8,0,
reactivex/abc/disposable.py,2,2,13,13,0,0,11,11,0,
reactivex/abc/observable.py,0,0,12,12,0,0,12,12,0,
reactivex/abc/observer.py,0,0,16,16,0,0,16,16,0,
reactivex/abc/periodicscheduler.py,0,0,12,12,0,0,12,12,0,
reactivex/abc/scheduler.py,0,0,30,30,0,0,30,30,0,
reactivex/abc/startable.py,0,0,6,6,0,0,6,6,0,
reactivex/abc/subject.py,0,0,18,18,0,0,18,18,0,
reactivex/disposable/__init__.py,0,0,9,9,0,0,9,9,0,
reactivex/disposable/booleandisposable.py,0,0,9,9,0,0,9,9,0,
reactivex/disposable/compositedisposable.py,1,1,54,54,0,0,53,53,0,
reactivex/disposable/disposable.py,0,0,20,20,0,0,20,20,0,
reactivex/disposable/multipleassignmentdisposable.py,1,1,28,28,0,0,27,27,0,
reactivex/disposable/refcountdisposable.py,1,1,53,53,0,0,52,52,0,
reactivex/disposable/scheduleddisposable.py,1,1,18,18,0,0,17,17,0,
reactivex/disposable/serialdisposable.py,0,0,32,32,0,0,32,32,0,
reactivex/disposable/singleassignmentdisposable.py,1,1,30,30,0,0,29,29,0,
reactivex/internal/__init__.py,0,0,7,7,0,0,7,7,0,
reactivex/internal/basic.py,1,1,18,18,0,0,17,17,0,
reactivex/internal/concurrency.py,0,0,15,15,0,0,15,15,0,
reactivex/internal/constants.py,0,0,3,3,0,0,3,3,0,
reactivex/internal/exceptions.py,2,2,19,19,0,0,17,17,0,
reactivex/internal/priorityqueue.py,0,0,31,31,0,0,31,31,0,
reactivex/internal/utils.py,2,2,37,37,0,0,35,35,0,
reactivex/notification.py,0,0,79,79,0,0,79,79,0,
reactivex/observable/__init__.py,0,0,4,4,0,0,4,4,0,
reactivex/observable/amb.py,0,0,12,12,0,0,12,12,0,
reactivex/observable/case.py,1,1,18,18,0,0,17,17,0,
reactivex/observable/catch.py,4,4,36,36,0,0,32,32,0,
reactivex/observable/concat.py,1,1,32,32,0,0,31,31,0,
reactivex/observable/connectableobservable.py,20,20,43,43,0,0,23,23,0,
reactivex/observable/defer.py,0,0,15,15,0,0,15,15,0,
reactivex/observable/empty.py,0,0,11,11,0,0,11,11,0,
reactivex/observable/forkjoin.py,0,0,4,4,0,0,4,4,0,
reactivex/observable/fromcallback.py,4,0,25,4,-21,-4,21,4,-17,
reactivex/observable/fromfuture.py,0,0,24,24,0,0,24,24,0,
reactivex/observable/fromiterable.py,0,0,25,25,0,0,25,25,0,
reactivex/observable/generate.py,0,0,32,32,0,0,32,32,0,
reactivex/observable/generatewithrelativetime.py,0,0,37,37,0,0,37,37,0,
reactivex/observable/groupedobservable.py,0,0,15,15,0,0,15,15,0,
reactivex/observable/ifthen.py,0,0,13,13,0,0,13,13,0,
reactivex/observable/interval.py,0,0,5,5,0,0,5,5,0,
reactivex/observable/marbles.py,3,3,113,113,0,0,110,110,0,
reactivex/observable/merge.py,0,0,8,8,0,0,8,8,0,
reactivex/observable/never.py,0,0,8,8,0,0,8,8,0,
reactivex/observable/observable.py,5,5,85,85,0,0,80,80,0,
reactivex/observable/onerrorresumenext.py,0,0,30,30,0,0,30,30,0,
reactivex/observable/range.py,0,0,27,27,0,0,27,27,0,
reactivex/observable/repeat.py,0,0,11,11,0,0,11,11,0,
reactivex/observable/returnvalue.py,10,10,24,24,0,0,14,14,0,
reactivex/observable/start.py,0,0,6,6,0,0,6,6,0,
reactivex/observable/startasync.py,2,2,11,11,0,0,9,9,0,
reactivex/observable/throw.py,0,0,12,12,0,0,12,12,0,
reactivex/observable/timer.py,4,4,69,69,0,0,65,65,0,
reactivex/observable/toasync.py,0,0,7,7,0,0,7,7,0,
reactivex/observable/using.py,0,0,19,19,0,0,19,19,0,
reactivex/observable/zip.py,0,0,7,7,0,0,7,7,0,
reactivex/observer/__init__.py,0,0,5,5,0,0,5,5,0,
reactivex/observer/autodetachobserver.py,0,0,42,42,0,0,42,42,0,
reactivex/observer/observeonobserver.py,0,0,13,13,0,0,13,13,0,
reactivex/observer/observer.py,9,9,51,51,0,0,42,42,0,
reactivex/observer/scheduledobserver.py,5,5,54,54,0,0,49,49,0,
reactivex/operators/__init__.py,25,24,479,472,-7,-1,454,448,-6,
reactivex/operators/_all.py,0,0,12,12,0,0,12,12,0,
reactivex/operators/_amb.py,5,5,62,62,0,0,57,57,0,
reactivex/operators/_asobservable.py,0,0,10,10,0,0,10,10,0,
reactivex/operators/_average.py,1,1,22,22,0,0,21,21,0,
reactivex/operators/_buffer.py,0,0,21,21,0,0,21,21,0,
reactivex/operators/_bufferwithtime.py,0,0,10,10,0,0,10,10,0,
reactivex/operators/_bufferwithtimeorcount.py,0,0,8,8,0,0,8,8,0,
reactivex/operators/_catch.py,0,0,31,31,0,0,31,31,0,
reactivex/operators/_concat.py,0,0,9,9,0,0,9,9,0,
reactivex/operators/_contains.py,0,0,12,12,0,0,12,12,0,
reactivex/operators/_count.py,0,0,13,13,0,0,13,13,0,
reactivex/operators/_debounce.py,0,0,89,89,0,0,89,89,0,
reactivex/operators/_defaultifempty.py,0,0,18,18,0,0,18,18,0,
reactivex/operators/_delay.py,2,2,73,73,0,0,71,71,0,
reactivex/operators/_delaywithmapper.py,6,6,50,50,0,0,44,44,0,
reactivex/operators/_dematerialize.py,0,0,12,12,0,0,12,12,0,
reactivex/operators/_distinct.py,0,0,38,38,0,0,38,38,0,
reactivex/operators/_distinctuntilchanged.py,0,0,34,34,0,0,34,34,0,
reactivex/operators/_do.py,98,98,129,129,0,0,31,31,0,
reactivex/operators/_dowhile.py,0,0,9,9,0,0,9,9,0,
reactivex/operators/_elementatordefault.py,1,1,28,28,0,0,27,27,0,
reactivex/operators/_expand.py,0,0,53,53,0,0,53,53,0,
reactivex/operators/_filter.py,0,0,37,37,0,0,37,37,0,
reactivex/operators/_finallyaction.py,3,3,20,20,0,0,17,17,0,
reactivex/operators/_find.py,0,0,25,25,0,0,25,25,0,
reactivex/operators/_first.py,0,0,11,11,0,0,11,11,0,
reactivex/operators/_firstordefault.py,0,0,25,25,0,0,25,25,0,
reactivex/operators/_flatmap.py,9,9,37,37,0,0,28,28,0,
reactivex/operators/_forkjoin.py,0,0,4,4,0,0,4,4,0,
reactivex/operators/_groupby.py,0,0,13,13,0,0,13,13,0,
reactivex/operators/_groupbyuntil.py,19,19,90,90,0,0,71,71,0,
reactivex/operators/_groupjoin.py,6,6,98,98,0,0,92,92,0,
reactivex/operators/_ignoreelements.py,0,0,11,11,0,0,11,11,0,
reactivex/operators/_isempty.py,0,0,8,8,0,0,8,8,0,
reactivex/operators/_join.py,0,0,77,77,0,0,77,77,0,
reactivex/operators/_last.py,0,0,12,12,0,0,12,12,0,
reactivex/operators/_lastordefault.py,0,0,27,27,0,0,27,27,0,
reactivex/operators/_map.py,0,0,28,28,0,0,28,28,0,
reactivex/operators/_materialize.py,0,0,19,19,0,0,19,19,0,
reactivex/operators/_max.py,0,0,10,10,0,0,10,10,0,
reactivex/operators/_maxby.py,0,0,12,12,0,0,12,12,0,
reactivex/operators/_merge.py,0,0,75,75,0,0,75,75,0,
reactivex/operators/_min.py,0,0,14,14,0,0,14,14,0,
reactivex/operators/_minby.py,0,0,41,41,0,0,41,41,0,
reactivex/operators/_multicast.py,1,1,21,21,0,0,20,20,0,
reactivex/operators/_observeon.py,0,0,11,11,0,0,11,11,0,
reactivex/operators/_onerrorresumenext.py,0,0,9,9,0,0,9,9,0,
reactivex/operators/_pairwise.py,0,0,21,21,0,0,21,21,0,
reactivex/operators/_partition.py,6,6,20,20,0,0,14,14,0,
reactivex/operators/_pluck.py,0,0,12,12,0,0,12,12,0,
reactivex/operators/_publish.py,1,1,17,17,0,0,16,16,0,
reactivex/operators/_publishvalue.py,0,0,15,15,0,0,15,15,0,
reactivex/operators/_reduce.py,0,0,14,14,0,0,14,14,0,
reactivex/operators/_repeat.py,1,1,16,16,0,0,15,15,0,
reactivex/operators/_replay.py,3,3,16,16,0,0,13,13,0,
reactivex/operators/_retry.py,0,0,13,13,0,0,13,13,0,
reactivex/operators/_sample.py,1,1,30,30,0,0,29,29,0,
reactivex/operators/_scan.py,0,0,23,23,0,0,23,23,0,
reactivex/operators/_sequenceequal.py,0,0,70,70,0,0,70,70,0,
reactivex/operators/_single.py,0,0,10,10,0,0,10,10,0,
reactivex/operators/_singleordefault.py,0,0,29,29,0,0,29,29,0,
reactivex/operators/_skip.py,1,1,18,18,0,0,17,17,0,
reactivex/operators/_skiplast.py,0,0,19,19,0,0,19,19,0,
reactivex/operators/_skiplastwithtime.py,0,0,24,24,0,0,24,24,0,
reactivex/operators/_skipuntil.py,1,1,32,32,0,0,31,31,0,
reactivex/operators/_skipuntilwithtime.py,1,1,25,25,0,0,24,24,0,
reactivex/operators/_skipwhile.py,0,0,30,30,0,0,30,30,0,
reactivex/operators/_skipwithtime.py,0,0,21,21,0,0,21,21,0,
reactivex/operators/_slice.py,1,1,26,26,0,0,25,25,0,
reactivex/operators/_some.py,0,0,20,20,0,0,20,20,0,
reactivex/operators/_startswith.py,0,0,11,11,0,0,11,11,0,
reactivex/operators/_subscribeon.py,0,0,17,17,0,0,17,17,0,
reactivex/operators/_sum.py,0,0,11,11,0,0,11,11,0,
reactivex/operators/_take.py,1,1,22,22,0,0,21,21,0,
reactivex/operators/_takelast.py,0,0,19,19,0,0,19,19,0,
reactivex/operators/_takelastbuffer.py,0,0,19,19,0,0,19,19,0,
reactivex/operators/_takelastwithtime.py,0,0,26,26,0,0,26,26,0,
reactivex/operators/_takeuntil.py,1,1,18,18,0,0,17,17,0,
reactivex/operators/_takeuntilwithtime.py,1,1,19,19,0,0,18,18,0,
reactivex/operators/_takewhile.py,5,5,49,49,0,0,44,44,0,
reactivex/operators/_takewithtime.py,0,0,16,16,0,0,16,16,0,
reactivex/operators/_throttlefirst.py,1,1,26,26,0,0,25,25,0,
reactivex/operators/_timeinterval.py,0,0,24,24,0,0,24,24,0,
reactivex/operators/_timeout.py,1,1,52,52,0,0,51,51,0,
reactivex/operators/_timeoutwithmapper.py,0,0,60,60,0,0,60,60,0,
reactivex/operators/_timestamp.py,0,0,20,20,0,0,20,20,0,
reactivex/operators/_todict.py,1,1,32,32,0,0,31,31,0,
reactivex/operators/_tofuture.py,0,0,29,29,0,0,29,29,0,
reactivex/operators/_toiterable.py,0,0,17,17,0,0,17,17,0,
reactivex/operators/_toset.py,0,0,15,15,0,0,15,15,0,
reactivex/operators/_whiledo.py,1,1,17,17,0,0,16,16,0,
reactivex/operators/_window.py,0,0,76,76,0,0,76,76,0,
reactivex/operators/_windowwithcount.py,2,2,48,48,0,0,46,46,0,
reactivex/operators/_windowwithtime.py,0,0,77,77,0,0,77,77,0,
reactivex/operators/_windowwithtimeorcount.py,1,1,59,59,0,0,58,58,0,
reactivex/operators/_zip.py,0,0,22,22,0,0,22,22,0,
reactivex/operators/connectable/__init__.py,0,0,0,0,0,0,0,0,0,
reactivex/operators/connectable/_refcount.py,0,0,23,23,0,0,23,23,0,
reactivex/pipe.py,0,0,51,51,0,0,51,51,0,
reactivex/run.py,0,0,31,31,0,0,31,31,0,
reactivex/scheduler/__init__.py,0,0,12,12,0,0,12,12,0,
reactivex/scheduler/catchscheduler.py,1,1,65,65,0,0,64,64,0,
reactivex/scheduler/currentthreadscheduler.py,0,0,42,42,0,0,42,42,0,
reactivex/scheduler/eventloop/__init__.py,0,0,7,7,0,0,7,7,0,
reactivex/scheduler/eventloop/asyncioscheduler.py,3,3,38,38,0,0,35,35,0,
reactivex/scheduler/eventloop/asynciothreadsafescheduler.py,9,9,66,66,0,0,57,57,0,
reactivex/scheduler/eventloop/eventletscheduler.py,22,22,37,37,0,0,15,15,0,
reactivex/scheduler/eventloop/geventscheduler.py,23,23,38,38,0,0,15,15,0,
reactivex/scheduler/eventloop/ioloopscheduler.py,26,26,41,41,0,0,15,15,0,
reactivex/scheduler/eventloop/twistedscheduler.py,16,16,31,31,0,0,15,15,0,
reactivex/scheduler/eventloopscheduler.py,0,0,92,92,0,0,92,92,0,
reactivex/scheduler/historicalscheduler.py,0,0,7,7,0,0,7,7,0,
reactivex/scheduler/immediatescheduler.py,0,0,32,32,0,0,32,32,0,
reactivex/scheduler/mainloop/__init__.py,0,0,6,6,0,0,6,6,0,
reactivex/scheduler/mainloop/gtkscheduler.py,21,21,33,33,0,0,12,12,0,
reactivex/scheduler/mainloop/pygamescheduler.py,22,22,38,38,0,0,16,16,0,
reactivex/scheduler/mainloop/qtscheduler.py,33,33,47,47,0,0,14,14,0,
reactivex/scheduler/mainloop/tkinterscheduler.py,13,2,23,23,0,-11,10,21,11,
reactivex/scheduler/mainloop/wxscheduler.py,43,43,58,58,0,0,15,15,0,
