File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
reactivex/__init__.py,2,64,140,138,-2,62,138,74,-64,
reactivex/_version.py,0,0,1,1,0,0,1,1,0,
reactivex/abc/__init__.py,0,0,8,8,0,0,8,8,0,
reactivex/abc/disposable.py,2,2,13,13,0,0,11,11,0,
reactivex/abc/observable.py,0,0,12,12,0,0,12,12,0,
reactivex/abc/observer.py,0,0,16,16,0,0,16,16,0,
reactivex/abc/periodicscheduler.py,0,0,12,12,0,0,12,12,0,
reactivex/abc/scheduler.py,0,0,30,30,0,0,30,30,0,
reactivex/abc/startable.py,0,0,6,6,0,0,6,6,0,
reactivex/abc/subject.py,0,0,18,18,0,0,18,18,0,
reactivex/disposable/__init__.py,0,0,9,9,0,0,9,9,0,
reactivex/disposable/booleandisposable.py,0,4,9,9,0,4,9,5,-4,
reactivex/disposable/compositedisposable.py,1,40,54,54,0,39,53,14,-39,
reactivex/disposable/disposable.py,0,11,20,20,0,11,20,9,-11,
reactivex/disposable/multipleassignmentdisposable.py,1,19,28,28,0,18,27,9,-18,
reactivex/disposable/refcountdisposable.py,1,40,53,53,0,39,52,13,-39,
reactivex/disposable/scheduleddisposable.py,1,9,18,18,0,8,17,9,-8,
reactivex/disposable/serialdisposable.py,0,23,32,32,0,23,32,9,-23,
reactivex/disposable/singleassignmentdisposable.py,1,21,30,30,0,20,29,9,-20,
reactivex/internal/__init__.py,0,0,7,7,0,0,7,7,0,
reactivex/internal/basic.py,1,8,18,18,0,7,17,10,-7,
reactivex/internal/concurrency.py,0,7,15,15,0,7,15,8,-7,
reactivex/internal/constants.py,0,0,3,3,0,0,3,3,0,
reactivex/internal/exceptions.py,2,6,19,19,0,4,17,13,-4,
reactivex/internal/priorityqueue.py,0,16,31,31,0,16,31,15,-16,
reactivex/internal/utils.py,2,11,37,37,0,9,35,26,-9,
reactivex/notification.py,0,37,79,79,0,37,79,42,-37,
reactivex/observable/__init__.py,0,0,4,4,0,0,4,4,0,
reactivex/observable/connectableobservable.py,20,33,43,43,0,13,23,10,-13,
reactivex/observable/groupedobservable.py,0,6,15,15,0,6,15,9,-6,
reactivex/observable/marbles.py,3,96,113,113,0,93,110,17,-93,
reactivex/observable/observable.py,5,43,85,85,0,38,80,42,-38,
reactivex/observer/__init__.py,0,0,5,5,0,0,5,5,0,
reactivex/observer/autodetachobserver.py,0,28,42,42,0,28,42,14,-28,
reactivex/observer/observeonobserver.py,0,6,13,13,0,6,13,7,-6,
reactivex/observer/observer.py,9,29,51,51,0,20,42,22,-20,
reactivex/observer/scheduledobserver.py,5,40,54,54,0,35,49,14,-35,
reactivex/operators/__init__.py,25,251,479,472,-7,226,454,221,-233,
reactivex/pipe.py,0,4,51,51,0,4,51,47,-4,
reactivex/scheduler/__init__.py,0,0,12,12,0,0,12,12,0,
reactivex/scheduler/catchscheduler.py,1,47,65,65,0,46,64,18,-46,
reactivex/scheduler/currentthreadscheduler.py,0,21,42,42,0,21,42,21,-21,
reactivex/scheduler/eventloop/__init__.py,0,0,7,7,0,0,7,7,0,
reactivex/scheduler/eventloop/asyncioscheduler.py,3,22,38,38,0,19,35,16,-19,
reactivex/scheduler/eventloop/asynciothreadsafescheduler.py,9,52,66,66,0,43,57,14,-43,
reactivex/scheduler/eventloop/eventletscheduler.py,22,22,37,37,0,0,15,15,0,
reactivex/scheduler/eventloop/geventscheduler.py,23,23,38,38,0,0,15,15,0,
reactivex/scheduler/eventloop/ioloopscheduler.py,26,26,41,41,0,0,15,15,0,
reactivex/scheduler/eventloop/twistedscheduler.py,16,16,31,31,0,0,15,15,0,
reactivex/scheduler/eventloopscheduler.py,0,68,92,92,0,68,92,24,-68,
