Module,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines
awscli/__init__.py,0,0,14,14,0,0,14,14,0
awscli/alias.py,1,1,109,109,0,0,108,108,0
awscli/argparser.py,6,6,94,94,0,0,88,88,0
awscli/argprocess.py,14,14,248,248,0,0,234,234,0
awscli/arguments.py,12,12,240,240,0,0,228,228,0
awscli/bcdoc/__init__.py,0,0,1,1,0,0,1,1,0
awscli/bcdoc/docevents.py,0,0,35,35,0,0,35,35,0
awscli/bcdoc/docstringparser.py,2,2,119,119,0,0,117,117,0
awscli/bcdoc/restdoc.py,1,1,116,116,0,0,115,115,0
awscli/bcdoc/style.py,17,17,288,288,0,0,271,271,0
awscli/bcdoc/textwriter.py,290,290,556,556,0,0,266,266,0
awscli/clidocs.py,4,4,546,546,0,0,542,542,0
awscli/clidriver.py,14,14,348,348,0,0,334,334,0
awscli/commands.py,2,2,20,20,0,0,18,18,0
awscli/compat.py,123,123,267,267,0,0,144,144,0
awscli/completer.py,17,17,98,98,0,0,81,81,0
awscli/customizations/__init__.py,0,0,1,1,0,0,1,1,0
awscli/customizations/addexamples.py,0,0,18,18,0,0,18,18,0
awscli/customizations/argrename.py,0,0,21,21,0,0,21,21,0
awscli/customizations/arguments.py,0,0,103,103,0,0,103,103,0
awscli/customizations/assumerole.py,0,0,18,18,0,0,18,18,0
awscli/customizations/awslambda.py,1,1,64,64,0,0,63,63,0
awscli/customizations/binaryhoist.py,1,1,48,48,0,0,47,47,0
awscli/customizations/cliinputjson.py,0,0,32,32,0,0,32,32,0
awscli/customizations/cloudformation/__init__.py,0,0,7,7,0,0,7,7,0
awscli/customizations/cloudformation/artifact_exporter.py,4,4,320,320,0,0,316,316,0
awscli/customizations/cloudformation/deploy.py,0,0,77,77,0,0,77,77,0
awscli/customizations/cloudformation/deployer.py,3,3,92,92,0,0,89,89,0
awscli/customizations/cloudformation/exceptions.py,0,0,24,24,0,0,24,24,0
awscli/customizations/cloudformation/package.py,9,9,47,47,0,0,38,38,0
awscli/customizations/cloudformation/yamlhelper.py,0,0,40,40,0,0,40,40,0
awscli/customizations/cloudfront.py,1,1,94,94,0,0,93,93,0
awscli/customizations/cloudsearch.py,2,2,23,23,0,0,21,21,0
awscli/customizations/cloudsearchdomain.py,0,0,6,6,0,0,6,6,0
awscli/customizations/cloudtrail/__init__.py,0,0,8,8,0,0,8,8,0
