File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
SoftLayer/API.py,79,79,234,234,0,0,155,155,0,
SoftLayer/CLI/__init__.py,0,0,1,1,0,0,1,1,0,
SoftLayer/CLI/account/__init__.py,0,0,0,0,0,0,0,0,0,
SoftLayer/CLI/account/billing_items.py,0,0,35,35,0,0,35,35,0,
SoftLayer/CLI/account/cancel_item.py,0,0,12,12,0,0,12,12,0,
SoftLayer/CLI/account/event_detail.py,0,0,35,35,0,0,35,35,0,
SoftLayer/CLI/account/events.py,0,0,59,59,0,0,59,59,0,
SoftLayer/CLI/account/hook_create.py,0,0,19,19,0,0,19,19,0,
SoftLayer/CLI/account/hook_delete.py,2,2,15,15,0,0,13,13,0,
SoftLayer/CLI/account/hooks.py,0,0,14,14,0,0,14,14,0,
SoftLayer/CLI/account/invoice_detail.py,0,0,33,33,0,0,33,33,0,
SoftLayer/CLI/account/invoices.py,0,0,24,24,0,0,24,24,0,
SoftLayer/CLI/account/item_detail.py,3,3,40,40,0,0,37,37,0,
SoftLayer/CLI/account/licenses.py,0,0,20,20,0,0,20,20,0,
SoftLayer/CLI/account/orders.py,0,0,32,32,0,0,32,32,0,
SoftLayer/CLI/account/summary.py,0,0,30,30,0,0,30,30,0,
SoftLayer/CLI/bandwidth/__init__.py,0,0,0,0,0,0,0,0,0,
SoftLayer/CLI/bandwidth/pools.py,1,1,40,40,0,0,39,39,0,
SoftLayer/CLI/bandwidth/pools_create.py,2,2,37,37,0,0,35,35,0,
SoftLayer/CLI/bandwidth/pools_delete.py,0,0,11,11,0,0,11,11,0,
SoftLayer/CLI/bandwidth/pools_detail.py,10,10,65,65,0,0,55,55,0,
SoftLayer/CLI/bandwidth/pools_edit.py,0,0,25,25,0,0,25,25,0,
SoftLayer/CLI/bandwidth/summary.py,0,0,31,31,0,0,31,31,0,
SoftLayer/CLI/block/__init__.py,0,0,0,0,0,0,0,0,0,
SoftLayer/CLI/block/access/__init__.py,0,0,0,0,0,0,0,0,0,
