File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
teletext/__init__.py,0,0,0,0,0,0,0,0,0,
teletext/__main__.py,3,3,3,3,0,0,0,0,0,
teletext/celp.py,159,159,162,162,0,0,3,3,0,
teletext/charset.py,0,0,4,4,0,0,4,4,0,
teletext/cli/__init__.py,0,0,0,0,0,0,0,0,0,
teletext/cli/celp.py,19,19,22,22,0,0,3,3,0,
teletext/cli/clihelpers.py,91,91,181,181,0,0,90,90,0,
teletext/cli/teletext.py,260,260,419,419,0,0,159,159,0,
teletext/cli/training.py,44,44,89,89,0,0,45,45,0,
teletext/cli/vbi.py,55,55,104,104,0,0,49,49,0,
teletext/coding.py,6,23,56,56,0,17,50,33,-17,
teletext/elements.py,138,198,385,385,0,60,247,187,-60,
teletext/file.py,26,59,71,71,0,33,45,12,-33,
teletext/finders.py,6,6,20,20,0,0,14,14,0,
teletext/gui/__init__.py,0,0,0,0,0,0,0,0,0,
teletext/gui/classify.py,165,165,165,165,0,0,0,0,0,
teletext/gui/decoder.py,108,108,108,108,0,0,0,0,0,
teletext/gui/editor.py,73,73,73,73,0,0,0,0,0,
teletext/gui/qthelpers.py,15,15,15,15,0,0,0,0,0,
teletext/gui/service.py,51,51,51,51,0,0,0,0,0,
teletext/gui/vbiplot.py,73,73,73,73,0,0,0,0,0,
teletext/image.py,69,69,69,69,0,0,0,0,0,
teletext/interactive.py,162,162,162,162,0,0,0,0,0,
teletext/mp.py,17,153,178,178,0,136,161,25,-136,
teletext/packet.py,63,82,129,129,0,19,66,47,-19,
teletext/parser.py,65,99,112,112,0,34,47,13,-34,
teletext/pipeline.py,78,78,93,93,0,0,15,15,0,
teletext/printer.py,45,53,70,70,0,8,25,17,-8,
teletext/service.py,108,108,108,108,0,0,0,0,0,
teletext/servicedir.py,37,37,37,37,0,0,0,0,0,
teletext/sigint.py,0,13,21,21,0,13,21,8,-13,
teletext/spellcheck.py,8,27,39,39,0,19,31,12,-19,
teletext/stats.py,39,40,74,74,0,1,35,34,-1,
teletext/subpage.py,86,120,162,162,0,34,76,42,-34,
teletext/ts.py,32,32,32,32,0,0,0,0,0,
teletext/vbi/__init__.py,0,0,0,0,0,0,0,0,0,
teletext/vbi/clustering.py,52,52,52,52,0,0,0,0,0,
teletext/vbi/config.py,4,22,47,47,0,18,43,25,-18,
teletext/vbi/line.py,103,152,196,196,0,49,93,44,-49,
teletext/vbi/pattern.py,68,76,90,90,0,8,22,14,-8,
teletext/vbi/patterncuda.py,30,30,33,33,0,0,3,3,0,
teletext/vbi/patternopencl.py,42,42,44,44,0,0,2,2,0,
teletext/vbi/training.py,101,101,138,138,0,0,37,37,0,
teletext/vbi/viewer.py,181,181,181,181,0,0,0,0,0,
,2682,3131,4068,4068,0,449,1386,937,-449,Total
