File,missing_orig,missing_refac,statements_orig,statements_refac,statements_diff,missing_diff,coverage_original,coverage_refactor,covered_lines,Module
teletext/__init__.py,0,0,0,0,0,0,0,0,0,
teletext/__main__.py,3,3,3,3,0,0,0,0,0,
teletext/celp.py,159,159,162,162,0,0,3,3,0,
teletext/charset.py,0,0,4,4,0,0,4,4,0,
teletext/cli/__init__.py,0,0,0,0,0,0,0,0,0,
teletext/cli/celp.py,19,19,22,22,0,0,3,3,0,
teletext/cli/clihelpers.py,91,91,181,181,0,0,90,90,0,
teletext/cli/teletext.py,260,260,419,419,0,0,159,159,0,
teletext/cli/training.py,44,44,89,89,0,0,45,45,0,
teletext/cli/vbi.py,55,55,104,104,0,0,49,49,0,
teletext/coding.py,6,8,56,56,0,2,50,48,-2,
teletext/elements.py,138,138,385,385,0,0,247,247,0,
teletext/file.py,26,26,71,71,0,0,45,45,0,
teletext/finders.py,6,6,20,20,0,0,14,14,0,
teletext/gui/__init__.py,0,0,0,0,0,0,0,0,0,
teletext/gui/classify.py,165,165,165,165,0,0,0,0,0,
teletext/gui/decoder.py,108,108,108,108,0,0,0,0,0,
teletext/gui/editor.py,73,73,73,73,0,0,0,0,0,
teletext/gui/qthelpers.py,15,15,15,15,0,0,0,0,0,
teletext/gui/service.py,51,51,51,51,0,0,0,0,0,
teletext/gui/vbiplot.py,73,73,73,73,0,0,0,0,0,
teletext/image.py,69,69,69,69,0,0,0,0,0,
teletext/interactive.py,162,162,162,162,0,0,0,0,0,
teletext/mp.py,17,18,178,178,0,1,161,160,-1,
teletext/packet.py,63,64,129,129,0,1,66,65,-1,
teletext/parser.py,65,65,112,112,0,0,47,47,0,
teletext/pipeline.py,78,78,93,93,0,0,15,15,0,
teletext/printer.py,45,45,70,70,0,0,25,25,0,
teletext/service.py,108,108,108,108,0,0,0,0,0,
teletext/servicedir.py,37,37,37,37,0,0,0,0,0,
teletext/sigint.py,0,0,21,21,0,0,21,21,0,
teletext/spellcheck.py,8,8,39,39,0,0,31,31,0,
teletext/stats.py,39,39,74,74,0,0,35,35,0,
teletext/subpage.py,86,88,162,162,0,2,76,74,-2,
teletext/ts.py,32,32,32,32,0,0,0,0,0,
teletext/vbi/__init__.py,0,0,0,0,0,0,0,0,0,
teletext/vbi/clustering.py,52,52,52,52,0,0,0,0,0,
teletext/vbi/config.py,4,4,47,47,0,0,43,43,0,
teletext/vbi/line.py,103,103,196,196,0,0,93,93,0,
teletext/vbi/pattern.py,68,68,90,90,0,0,22,22,0,
teletext/vbi/patterncuda.py,30,30,33,33,0,0,3,3,0,
teletext/vbi/patternopencl.py,42,42,44,44,0,0,2,2,0,
teletext/vbi/training.py,101,101,138,138,0,0,37,37,0,
teletext/vbi/viewer.py,181,181,181,181,0,0,0,0,0,
,2682,2688,4068,4068,0,6,1386,1380,-6,Total
