Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
missing_diff,226.0,0.0,226.0
statements_diff,-384.0,-386.0,2.0
statements_diff,-384.0,-386.0,2.0
missing_diff,1.0,0.0,1.0
missing_diff,1.0,0.0,1.0
statements_diff,-384.0,-386.0,2.0
statements_diff,-384.0,-386.0,2.0
missing_diff,0.0,0.0,0.0
missing_diff,0.0,0.0,0.0
missing_diff,0.0,0.0,0.0
missing_diff,0.0,0.0,0.0
statements_diff,-384.0,-386.0,2.0
statements_diff,-384.0,-386.0,2.0
missing_diff,686.0,0.0,686.0
statements_diff,-384.0,-386.0,2.0
statements_diff,-384.0,-386.0,2.0
