Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
statements_diff,-30.0,-30.0,0.0
statements_diff,17.0,-1.0,18.0
statements_diff,17.0,-1.0,18.0
statements_diff,0.0,0.0,0.0
statements_diff,17.0,-1.0,18.0
statements_diff,0.0,0.0,0.0
statements_diff,-384.0,-386.0,2.0
statements_diff,17.0,-1.0,18.0
statements_diff,-384.0,-386.0,2.0
statements_diff,0.0,0.0,0.0
statements_diff,0.0,0.0,0.0
statements_diff,17.0,-1.0,18.0
statements_diff,0.0,0.0,0.0
statements_diff,17.0,-1.0,18.0
statements_diff,0.0,0.0,0.0
statements_diff,-384.0,-386.0,2.0
statements_diff,17.0,-1.0,18.0
