Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
missing_diff,5.0,-1.0,6.0
statements_diff,-30.0,-30.0,0.0
statements_diff,17.0,-1.0,18.0
statements_diff,17.0,-1.0,18.0
missing_diff,0.0,0.0,0.0
statements_diff,0.0,0.0,0.0
statements_diff,17.0,-1.0,18.0
statements_diff,0.0,0.0,0.0
missing_diff,0.0,0.0,0.0
missing_diff,39.0,0.0,39.0
missing_diff,8.0,-1.0,9.0
missing_diff,8841.0,0.0,8841.0
missing_diff,0.0,0.0,0.0
statements_diff,-384.0,-386.0,2.0
statements_diff,17.0,-1.0,18.0
missing_diff,0.0,0.0,0.0
statements_diff,-384.0,-386.0,2.0
statements_diff,0.0,0.0,0.0
statements_diff,0.0,0.0,0.0
missing_diff,0.0,0.0,0.0
statements_diff,17.0,-1.0,18.0
missing_diff,5.0,-1.0,6.0
statements_diff,0.0,0.0,0.0
missing_diff,0.0,0.0,0.0
statements_diff,17.0,-1.0,18.0
missing_diff,0.0,0.0,0.0
statements_diff,0.0,0.0,0.0
missing_diff,0.0,0.0,0.0
missing_diff,0.0,0.0,0.0
missing_diff,5.0,-1.0,6.0
statements_diff,-384.0,-386.0,2.0
statements_diff,17.0,-1.0,18.0
missing_diff,-16.0,-16.0,0.0
missing_diff,5.0,-1.0,6.0
