Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
statements_diff,-84.0,-84.0,0.0
statements_diff,-84.0,-84.0,0.0
statements_diff,-84.0,-84.0,0.0
statements_diff,-84.0,-84.0,0.0
missing_diff,1634.0,0.0,1634.0
statements_diff,-84.0,-84.0,0.0
missing_diff,1660.0,0.0,1660.0
missing_diff,1634.0,0.0,1634.0
statements_diff,-84.0,-84.0,0.0
statements_diff,-84.0,-84.0,0.0
missing_diff,17460.0,0.0,17460.0
statements_diff,-84.0,-84.0,0.0
missing_diff,17470.0,0.0,17470.0
statements_diff,-84.0,-84.0,0.0
missing_diff,17460.0,0.0,17460.0
missing_diff,17460.0,0.0,17460.0
missing_diff,17459.0,0.0,17459.0
missing_diff,17459.0,0.0,17459.0
missing_diff,17459.0,0.0,17459.0
missing_diff,17470.0,0.0,17470.0
statements_diff,-84.0,-84.0,0.0
missing_diff,17460.0,0.0,17460.0
missing_diff,1806.0,0.0,1806.0
statements_diff,-84.0,-84.0,0.0
statements_diff,-84.0,-84.0,0.0
missing_diff,17459.0,0.0,17459.0
statements_diff,-84.0,-84.0,0.0
statements_diff,-84.0,-84.0,0.0
