Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
missing_diff,1391.0,0.0,1391.0
missing_diff,1391.0,0.0,1391.0
missing_diff,-16.0,-16.0,0.0
statements_diff,-30.0,-30.0,0.0
statements_diff,-9.0,-9.0,0.0
statements_diff,-9.0,-9.0,0.0
missing_diff,1391.0,0.0,1391.0
statements_diff,-9.0,-9.0,0.0
statements_diff,-9.0,-9.0,0.0
statements_diff,-9.0,-9.0,0.0
missing_diff,1382.0,0.0,1382.0
missing_diff,1391.0,0.0,1391.0
statements_diff,-9.0,-9.0,0.0
missing_diff,-16.0,-16.0,0.0
statements_diff,-30.0,-30.0,0.0
missing_diff,1391.0,0.0,1391.0
statements_diff,-9.0,-9.0,0.0
missing_diff,1391.0,0.0,1391.0
missing_diff,-15.0,-16.0,1.0
missing_diff,-16.0,-16.0,0.0
statements_diff,-30.0,-30.0,0.0
statements_diff,-9.0,-9.0,0.0
missing_diff,1391.0,0.0,1391.0
statements_diff,-30.0,-30.0,0.0
