File,statements,missing
reactivex/__init__.py,2,-62
reactivex/_version.py,0,0
reactivex/abc/__init__.py,0,0
reactivex/abc/disposable.py,0,0
reactivex/abc/observable.py,0,0
reactivex/abc/observer.py,0,0
reactivex/abc/periodicscheduler.py,0,0
reactivex/abc/scheduler.py,0,0
reactivex/abc/startable.py,0,0
reactivex/abc/subject.py,0,0
reactivex/disposable/__init__.py,0,0
reactivex/disposable/booleandisposable.py,0,-4
reactivex/disposable/compositedisposable.py,0,-39
reactivex/disposable/disposable.py,0,-11
reactivex/disposable/multipleassignmentdisposable.py,0,-18
reactivex/disposable/refcountdisposable.py,0,-39
reactivex/disposable/scheduleddisposable.py,0,-8
reactivex/disposable/serialdisposable.py,0,-23
reactivex/disposable/singleassignmentdisposable.py,0,-20
reactivex/internal/__init__.py,0,0
reactivex/internal/basic.py,0,-7
reactivex/internal/concurrency.py,0,-7
reactivex/internal/constants.py,0,0
reactivex/internal/exceptions.py,0,-4
reactivex/internal/priorityqueue.py,0,-16
reactivex/internal/utils.py,0,-9
reactivex/notification.py,0,-46
reactivex/observable/__init__.py,0,0
reactivex/observable/connectableobservable.py,0,-13
reactivex/observable/groupedobservable.py,0,-6
reactivex/observable/marbles.py,0,-93
reactivex/observable/observable.py,0,-38
reactivex/observer/__init__.py,0,0
reactivex/observer/autodetachobserver.py,0,-28
reactivex/observer/observeonobserver.py,0,-6
reactivex/observer/observer.py,0,-20
reactivex/observer/scheduledobserver.py,0,-35
reactivex/operators/__init__.py,7,-226
reactivex/pipe.py,0,-4
reactivex/scheduler/__init__.py,0,0
reactivex/scheduler/catchscheduler.py,0,-46
reactivex/scheduler/currentthreadscheduler.py,0,-21
reactivex/scheduler/eventloop/__init__.py,0,0
reactivex/scheduler/eventloop/asyncioscheduler.py,0,-19
reactivex/scheduler/eventloop/asynciothreadsafescheduler.py,0,-43
reactivex/scheduler/eventloop/eventletscheduler.py,0,0
reactivex/scheduler/eventloop/geventscheduler.py,0,0
reactivex/scheduler/eventloop/ioloopscheduler.py,0,0
reactivex/scheduler/eventloop/twistedscheduler.py,0,0
reactivex/scheduler/eventloopscheduler.py,0,-68
reactivex/scheduler/historicalscheduler.py,0,-1
reactivex/scheduler/immediatescheduler.py,0,-15
reactivex/scheduler/mainloop/__init__.py,0,0
reactivex/scheduler/mainloop/gtkscheduler.py,0,0
reactivex/scheduler/mainloop/pygamescheduler.py,0,0
reactivex/scheduler/mainloop/qtscheduler.py,0,0
reactivex/scheduler/mainloop/tkinterscheduler.py,0,0
reactivex/scheduler/mainloop/wxscheduler.py,0,0
reactivex/scheduler/newthreadscheduler.py,0,-23
reactivex/scheduler/periodicscheduler.py,0,-15
reactivex/scheduler/scheduleditem.py,0,-13
reactivex/scheduler/scheduler.py,0,-20
reactivex/scheduler/threadpoolscheduler.py,0,-5
reactivex/scheduler/timeoutscheduler.py,0,-28
reactivex/scheduler/trampoline.py,0,-33
reactivex/scheduler/trampolinescheduler.py,0,-15
reactivex/scheduler/virtualtimescheduler.py,0,-78
reactivex/subject/__init__.py,0,0
reactivex/subject/asyncsubject.py,0,-35
reactivex/subject/behaviorsubject.py,0,-21
reactivex/subject/innersubscription.py,0,-8
reactivex/subject/replaysubject.py,0,-57
reactivex/subject/subject.py,0,-45
reactivex/testing/__init__.py,0,0
reactivex/testing/coldobservable.py,0,-24
reactivex/testing/hotobservable.py,0,-28
reactivex/testing/marbles.py,0,-45
reactivex/testing/mockdisposable.py,0,-4
reactivex/testing/mockobserver.py,0,-5
reactivex/testing/reactivetest.py,0,-25
reactivex/testing/recorded.py,0,-7
reactivex/testing/subscription.py,0,-4
reactivex/testing/testscheduler.py,0,-33
reactivex/typing.py,0,0
tests/__init__.py,0,0
tests/test_core/__init__.py,0,0
tests/test_core/test_notification.py,0,-175
tests/test_core/test_observer.py,0,-173
tests/test_core/test_priorityqueue.py,-4,-68
tests/test_disposables/__init__.py,0,0
tests/test_disposables/test_disposable.py,0,-200
tests/test_integration/test_concat_repeat.py,0,-7
tests/test_integration/test_group_reduce.py,0,-7
tests/test_observable/__init__.py,0,0
tests/test_observable/test_all.py,0,-57
tests/test_observable/test_amb.py,0,-82
tests/test_observable/test_asobservable.py,0,-45
tests/test_observable/test_average.py,0,-43
tests/test_observable/test_blocking/__init__.py,0,0
tests/test_observable/test_blocking/test_blocking.py,0,-16
tests/test_observable/test_buffer.py,0,-163
tests/test_observable/test_bufferwithcount.py,0,-71
tests/test_observable/test_bufferwithtime.py,0,-29
tests/test_observable/test_bufferwithtimeorcount.py,-1,-25
tests/test_observable/test_case.py,0,-94
tests/test_observable/test_catch.py,0,-163
tests/test_observable/test_combinelatest.py,0,-255
tests/test_observable/test_concat.py,0,-162
tests/test_observable/test_concatmap.py,0,-58
