File,statements,missing
cloudinit/__init__.py,0,0
cloudinit/analyze/__init__.py,0,-59
cloudinit/analyze/dump.py,0,-70
cloudinit/analyze/show.py,0,-43
cloudinit/apport.py,1,-52
cloudinit/atomic_helper.py,0,-26
cloudinit/cloud.py,0,-12
cloudinit/cmd/__init__.py,0,0
cloudinit/cmd/clean.py,1,-48
cloudinit/cmd/cloud_id.py,1,-34
cloudinit/cmd/devel/__init__.py,1,-5
cloudinit/cmd/devel/hotplug_hook.py,1,-82
cloudinit/cmd/devel/logs.py,1,-74
cloudinit/cmd/devel/net_convert.py,1,-56
cloudinit/cmd/devel/render.py,1,-38
cloudinit/cmd/main.py,0,-255
cloudinit/cmd/query.py,1,-110
cloudinit/cmd/status.py,1,-136
cloudinit/config/__init__.py,0,0
cloudinit/config/cc_ansible.py,0,-92
cloudinit/config/cc_apk_configure.py,1,-22
cloudinit/config/cc_apt_configure.py,1,-448
cloudinit/config/cc_apt_pipelining.py,1,-9
cloudinit/config/cc_bootcmd.py,1,-18
cloudinit/config/cc_byobu.py,1,0
cloudinit/config/cc_ca_certs.py,1,-58
cloudinit/config/cc_chef.py,1,-72
cloudinit/config/cc_disable_ec2_metadata.py,1,-10
cloudinit/config/cc_disk_setup.py,1,-113
cloudinit/config/cc_fan.py,1,0
cloudinit/config/cc_final_message.py,1,-21
cloudinit/config/cc_growpart.py,1,-157
cloudinit/config/cc_grub_dpkg.py,1,-48
cloudinit/config/cc_install_hotplug.py,1,-19
cloudinit/config/cc_keyboard.py,1,-10
cloudinit/config/cc_keys_to_console.py,1,-14
cloudinit/config/cc_landscape.py,1,-16
cloudinit/config/cc_locale.py,1,-6
cloudinit/config/cc_lxd.py,1,-133
cloudinit/config/cc_mcollective.py,1,-32
cloudinit/config/cc_mounts.py,1,-234
cloudinit/config/cc_ntp.py,1,-118
cloudinit/config/cc_package_update_upgrade_install.py,1,-21
cloudinit/config/cc_phone_home.py,1,-36
cloudinit/config/cc_power_state_change.py,1,-31
cloudinit/config/cc_puppet.py,1,-98
cloudinit/config/cc_reset_rmc.py,1,0
cloudinit/config/cc_resizefs.py,1,-96
cloudinit/config/cc_resolv_conf.py,1,-29
cloudinit/config/cc_rh_subscription.py,1,-165
cloudinit/config/cc_rightscale_userdata.py,0,0
cloudinit/config/cc_rsyslog.py,1,-118
cloudinit/config/cc_runcmd.py,1,-10
cloudinit/config/cc_salt_minion.py,1,-24
cloudinit/config/cc_scripts_per_boot.py,1,0
cloudinit/config/cc_scripts_per_instance.py,1,0
cloudinit/config/cc_scripts_per_once.py,1,0
cloudinit/config/cc_scripts_user.py,1,0
cloudinit/config/cc_scripts_vendor.py,1,0
cloudinit/config/cc_seed_random.py,1,-37
cloudinit/config/cc_set_hostname.py,1,-27
cloudinit/config/cc_set_passwords.py,1,-89
cloudinit/config/cc_snap.py,1,-31
cloudinit/config/cc_spacewalk.py,1,-21
cloudinit/config/cc_ssh.py,1,-89
cloudinit/config/cc_ssh_authkey_fingerprints.py,1,0
cloudinit/config/cc_ssh_import_id.py,1,-29
cloudinit/config/cc_timezone.py,1,-4
cloudinit/config/cc_ubuntu_advantage.py,1,-175
cloudinit/config/cc_ubuntu_autoinstall.py,1,-20
cloudinit/config/cc_ubuntu_drivers.py,1,-41
cloudinit/config/cc_update_etc_hosts.py,1,-15
cloudinit/config/cc_update_hostname.py,1,0
cloudinit/config/cc_users_groups.py,1,-19
cloudinit/config/cc_wireguard.py,1,-63
cloudinit/config/cc_write_files.py,1,-55
cloudinit/config/cc_write_files_deferred.py,1,-4
cloudinit/config/cc_yum_add_repo.py,1,-46
cloudinit/config/cc_zypper_add_repo.py,1,-57
cloudinit/config/modules.py,0,-103
cloudinit/config/schema.py,1,-401
cloudinit/distros/__init__.py,0,-373
cloudinit/distros/alpine.py,0,-53
cloudinit/distros/amazon.py,0,0
cloudinit/distros/arch.py,0,-70
cloudinit/distros/bsd.py,0,-18
cloudinit/distros/bsd_utils.py,0,-25
cloudinit/distros/centos.py,0,0
cloudinit/distros/debian.py,0,-65
cloudinit/distros/freebsd.py,0,-32
cloudinit/distros/mariner.py,0,0
cloudinit/distros/net_util.py,0,-69
cloudinit/distros/netbsd.py,0,-9
cloudinit/distros/networking.py,0,-45
cloudinit/distros/opensuse.py,0,-76
cloudinit/distros/package_management/__init__.py,0,0
cloudinit/distros/package_management/apt.py,0,-52
cloudinit/distros/package_management/package_manager.py,0,-2
cloudinit/distros/package_management/snap.py,0,-9
cloudinit/distros/package_management/utils.py,0,0
cloudinit/distros/parsers/__init__.py,0,-8
cloudinit/distros/parsers/hostname.py,0,-46
cloudinit/distros/parsers/hosts.py,0,-47
cloudinit/distros/parsers/ifconfig.py,0,-127
cloudinit/distros/parsers/networkmanager_conf.py,0,-4
cloudinit/distros/parsers/resolv_conf.py,0,-94
cloudinit/distros/parsers/sys_conf.py,0,-28
cloudinit/distros/photon.py,0,-39
cloudinit/distros/rhel.py,0,-38
cloudinit/distros/rhel_util.py,0,-20
cloudinit/distros/ubuntu.py,0,-8
cloudinit/distros/ug_util.py,0,-105
cloudinit/dmi.py,0,-54
cloudinit/event.py,1,-16
cloudinit/features.py,1,-1
cloudinit/filters/__init__.py,0,0
cloudinit/filters/launch_index.py,0,-29
cloudinit/gpg.py,1,-36
cloudinit/handlers/__init__.py,0,-93
cloudinit/handlers/boot_hook.py,0,-17
cloudinit/handlers/cloud_config.py,0,-66
cloudinit/handlers/jinja_template.py,0,-71
cloudinit/handlers/shell_script.py,0,-10
