File,statements,missing
conftest.py,0,-31
jedi/__init__.py,0,0
jedi/api/__init__.py,0,-205
jedi/api/classes.py,0,-160
jedi/api/completion.py,0,-255
jedi/api/completion_cache.py,0,-4
jedi/api/environment.py,0,-107
jedi/api/errors.py,0,-7
jedi/api/exceptions.py,0,0
jedi/api/file_name.py,0,-52
jedi/api/helpers.py,0,-246
jedi/api/interpreter.py,0,-9
jedi/api/keywords.py,0,0
jedi/api/project.py,0,-148
jedi/api/refactoring/__init__.py,0,-23
jedi/api/refactoring/extract.py,0,-207
jedi/api/replstartup.py,0,0
jedi/api/strings.py,0,-46
jedi/cache.py,0,-32
jedi/common.py,0,-11
jedi/debug.py,0,-29
jedi/file_io.py,0,-19
jedi/inference/__init__.py,0,-58
jedi/inference/analysis.py,0,-25
jedi/inference/arguments.py,0,-34
jedi/inference/base_value.py,0,-91
jedi/inference/cache.py,0,-43
jedi/inference/compiled/__init__.py,0,-15
jedi/inference/compiled/access.py,0,-136
jedi/inference/compiled/getattr_static.py,0,-54
jedi/inference/compiled/mixed.py,0,-85
jedi/inference/compiled/subprocess/__init__.py,0,-147
jedi/inference/compiled/subprocess/functions.py,0,-78
jedi/inference/compiled/value.py,0,-130
jedi/inference/context.py,0,-127
jedi/inference/docstring_utils.py,0,-7
jedi/inference/docstrings.py,0,-47
jedi/inference/dynamic_params.py,0,-63
jedi/inference/filters.py,0,-80
jedi/inference/finder.py,0,-12
jedi/inference/flow_analysis.py,0,-46
jedi/inference/gradual/__init__.py,0,0
jedi/inference/gradual/annotation.py,0,-46
jedi/inference/gradual/base.py,0,0
jedi/inference/gradual/conversion.py,0,-99
jedi/inference/gradual/generics.py,0,0
jedi/inference/gradual/stub_value.py,0,-28
jedi/inference/gradual/type_var.py,0,0
jedi/inference/gradual/typeshed.py,0,-107
jedi/inference/gradual/typing.py,0,0
jedi/inference/gradual/utils.py,0,0
jedi/inference/helpers.py,0,-64
jedi/inference/imports.py,0,-220
jedi/inference/lazy_value.py,0,-8
jedi/inference/names.py,0,-205
jedi/inference/param.py,0,0
jedi/inference/parser_cache.py,0,-1
jedi/inference/recursion.py,0,-19
jedi/inference/references.py,0,-84
jedi/inference/signature.py,0,-48
jedi/inference/star_args.py,0,-90
jedi/inference/syntax_tree.py,0,-201
jedi/inference/sys_path.py,0,-87
jedi/inference/utils.py,0,-5
jedi/inference/value/__init__.py,0,0
jedi/inference/value/decorator.py,0,0
jedi/inference/value/dynamic_arrays.py,0,0
jedi/inference/value/function.py,0,-86
jedi/inference/value/instance.py,0,-65
jedi/inference/value/iterable.py,0,-39
jedi/inference/value/klass.py,0,-73
jedi/inference/value/module.py,0,-66
jedi/inference/value/namespace.py,0,-17
jedi/parser_utils.py,0,-138
jedi/plugins/__init__.py,0,-1
jedi/plugins/django.py,0,-5
jedi/plugins/flask.py,0,-2
jedi/plugins/pytest.py,0,-13
jedi/plugins/registry.py,0,0
jedi/plugins/stdlib.py,0,-8
jedi/settings.py,0,0
jedi/utils.py,0,-14
test/__init__.py,0,0
test/conftest.py,0,-23
test/helpers.py,0,-6
test/refactor.py,0,-6
test/run.py,0,-5
test/test_api/__init__.py,0,0
test/test_api/test_analysis.py,0,-2
test/test_api/test_api.py,0,-89
test/test_api/test_api_classes_follow_definition.py,0,-9
test/test_api/test_call_signatures.py,0,-100
test/test_api/test_classes.py,0,-124
test/test_api/test_completion.py,0,-76
test/test_api/test_context.py,0,-9
test/test_api/test_documentation.py,0,-21
test/test_api/test_environment.py,0,-63
test/test_api/test_full_name.py,0,-27
test/test_api/test_interpreter.py,0,-241
test/test_api/test_keyword.py,0,-4
test/test_api/test_names.py,0,-43
test/test_api/test_project.py,0,-30
test/test_api/test_refactoring.py,0,-17
test/test_api/test_search.py,0,-7
test/test_api/test_settings.py,0,-4
test/test_api/test_signatures.py,0,-7
test/test_api/test_syntax_errors.py,0,-15
test/test_api/test_unicode.py,0,-14
test/test_api/test_usages.py,0,-13
test/test_cache.py,0,-6
test/test_debug.py,0,-4
test/test_file_io.py,0,-17
test/test_inference/__init__.py,0,0
test/test_inference/test_annotations.py,0,-6
test/test_inference/test_buildout_detection.py,0,-22
test/test_inference/test_compiled.py,0,-38
test/test_inference/test_context.py,0,-2
test/test_inference/test_docstring.py,0,-42
test/test_inference/test_extension.py,0,-8
test/test_inference/test_fstring.py,0,-2
test/test_inference/test_gradual/__init__.py,0,0
test/test_inference/test_gradual/test_conversion.py,0,-14
test/test_inference/test_gradual/test_stub_loading.py,0,-7
test/test_inference/test_gradual/test_stubs.py,0,-28
test/test_inference/test_gradual/test_typeshed.py,0,-41
test/test_inference/test_implicit_namespace_package.py,0,-30
test/test_inference/test_imports.py,0,-125
test/test_inference/test_literals.py,0,-4
test/test_inference/test_mixed.py,0,-41
test/test_inference/test_namespace_package.py,0,-14
test/test_inference/test_precedence.py,0,-3
test/test_inference/test_pyc.py,0,-28
test/test_inference/test_representation.py,0,-9
test/test_inference/test_signature.py,0,-26
test/test_inference/test_stdlib.py,0,-16
test/test_inference/test_sys_path.py,0,-21
test/test_integration.py,0,-15
test/test_parso_integration/__init__.py,0,0
test/test_parso_integration/test_basic.py,0,-19
test/test_parso_integration/test_error_correction.py,0,-12
test/test_parso_integration/test_parser_utils.py,0,-33
test/test_settings.py,0,-14
test/test_utils.py,-5,-37
