File,statements,missing
SoftLayer/API.py,0,-108
SoftLayer/CLI/__init__.py,0,0
SoftLayer/CLI/call_api.py,0,-60
SoftLayer/CLI/command.py,0,-107
SoftLayer/CLI/config/__init__.py,0,-25
SoftLayer/CLI/config/setup.py,0,-62
SoftLayer/CLI/core.py,0,-73
SoftLayer/CLI/custom_types.py,0,-8
SoftLayer/CLI/dns/__init__.py,0,0
SoftLayer/CLI/dns/zone_import.py,0,-38
SoftLayer/CLI/environment.py,0,-91
SoftLayer/CLI/exceptions.py,0,-6
SoftLayer/CLI/formatting.py,0,-240
SoftLayer/CLI/helpers.py,0,-10
SoftLayer/CLI/routes.py,0,0
SoftLayer/CLI/template.py,0,-29
SoftLayer/CLI/ticket/__init__.py,0,-30
SoftLayer/__init__.py,0,0
SoftLayer/auth.py,0,-19
SoftLayer/config.py,0,-30
SoftLayer/consts.py,0,0
SoftLayer/decoration.py,0,-13
SoftLayer/exceptions.py,0,-5
SoftLayer/fixtures/SoftLayer_Account.py,0,0
SoftLayer/fixtures/SoftLayer_Hardware_Server.py,0,0
SoftLayer/fixtures/SoftLayer_Network_LBaaS_LoadBalancer.py,0,0
SoftLayer/fixtures/SoftLayer_Network_Storage.py,0,0
SoftLayer/fixtures/SoftLayer_Network_Storage_Allowed_Host.py,0,0
SoftLayer/fixtures/SoftLayer_Network_Vlan.py,0,0
SoftLayer/fixtures/SoftLayer_Product_Order.py,0,0
SoftLayer/fixtures/SoftLayer_Product_Package.py,0,0
SoftLayer/fixtures/SoftLayer_Search.py,0,0
SoftLayer/fixtures/SoftLayer_User_Customer.py,0,0
SoftLayer/fixtures/SoftLayer_Virtual_DedicatedHost.py,0,0
SoftLayer/fixtures/SoftLayer_Virtual_Guest.py,0,0
SoftLayer/fixtures/__init__.py,0,0
SoftLayer/managers/__init__.py,0,0
SoftLayer/managers/account.py,0,-80
SoftLayer/managers/bandwidth.py,0,-12
SoftLayer/managers/block.py,0,-37
SoftLayer/managers/cdn.py,0,-79
SoftLayer/managers/dedicated_host.py,0,-134
SoftLayer/managers/dns.py,0,-66
SoftLayer/managers/email.py,0,-13
SoftLayer/managers/event_log.py,0,-23
SoftLayer/managers/file.py,0,-31
SoftLayer/managers/firewall.py,0,-91
SoftLayer/managers/hardware.py,0,-422
SoftLayer/managers/image.py,0,-65
SoftLayer/managers/ipsec.py,0,-78
SoftLayer/managers/license.py,0,0
SoftLayer/managers/load_balancer.py,0,-75
SoftLayer/managers/metadata.py,0,-30
SoftLayer/managers/network.py,0,-247
SoftLayer/managers/object_storage.py,0,-18
SoftLayer/managers/ordering.py,0,-230
SoftLayer/managers/search.py,0,-37
SoftLayer/managers/sshkey.py,0,-23
SoftLayer/managers/ssl.py,0,-11
SoftLayer/managers/storage.py,0,-105
SoftLayer/managers/storage_utils.py,0,-383
SoftLayer/managers/tags.py,0,-78
SoftLayer/managers/ticket.py,0,-31
SoftLayer/managers/user.py,0,-152
SoftLayer/managers/vs.py,0,-430
SoftLayer/managers/vs_capacity.py,0,-62
SoftLayer/managers/vs_placement.py,0,-22
SoftLayer/testing/__init__.py,0,-66
SoftLayer/testing/xmlrpc.py,0,-45
SoftLayer/transports/__init__.py,0,0
SoftLayer/transports/debug.py,0,-22
SoftLayer/transports/fixture.py,0,-12
SoftLayer/transports/rest.py,0,-80
SoftLayer/transports/timing.py,0,-11
SoftLayer/transports/transport.py,0,-42
SoftLayer/transports/xmlrpc.py,0,-56
SoftLayer/utils.py,0,-116
