File,statements,missing
utest/api/test_deco.py,-20,-12
utest/api/test_exposed_api.py,-8,-26
utest/api/test_languages.py,-9,-38
utest/api/test_logging_api.py,-20,-9
utest/api/test_run_and_rebot.py,-9,-9
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,6,16
utest/htmldata/test_htmltemplate.py,-8,-4
utest/htmldata/test_jsonwriter.py,-9,-24
utest/libdoc/test_datatypes.py,0,0
utest/libdoc/test_libdoc.py,0,0
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,-4,-1
utest/model/test_control.py,-7,0
utest/model/test_filter.py,0,0
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,-5,-19
utest/model/test_message.py,-11,-4
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,-21,-16
utest/model/test_statistics.py,-35,-14
utest/model/test_tags.py,-17,0
utest/model/test_tagstatistics.py,-5,-17
utest/model/test_testcase.py,-15,-4
utest/model/test_testsuite.py,64,43
utest/output/test_console.py,0,0
utest/output/test_filelogger.py,0,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,4,9
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,0,0
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,0,0
utest/parsing/test_model.py,0,0
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,0,0
utest/parsing/test_suitestructure.py,0,0
utest/parsing/test_tokenizer.py,0,0
utest/parsing/test_tokens.py,-11,-17
utest/reporting/test_jsbuildingcontext.py,-5,0
utest/reporting/test_jsexecutionresult.py,0,0
utest/reporting/test_jsmodelbuilders.py,0,0
utest/reporting/test_jswriter.py,0,0
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,0,0
utest/reporting/test_stringcache.py,-16,-6
utest/result/test_configurer.py,-42,-26
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,-9,-45
utest/result/test_resultmodel.py,41,41
utest/result/test_resultserializer.py,0,-11
utest/result/test_visitor.py,51,55
utest/running/test_argumentspec.py,11,13
utest/running/test_builder.py,17,20
utest/running/test_importer.py,-6,-16
utest/running/test_imports.py,0,0
utest/running/test_librarykeyword.py,0,0
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,0,0
utest/running/test_resourcefile.py,-25,-12
utest/running/test_run_model.py,0,0
utest/running/test_runkwregister.py,0,0
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,0,0
utest/running/test_testlibrary.py,-18,-18
utest/running/test_timeouts.py,-42,-43
utest/running/test_typeinfo.py,0,0
utest/running/test_typeinfoparser.py,0,0
utest/running/test_userkeyword.py,-15,-5
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,-23,-9
utest/utils/test_argumentparser.py,21,-19
utest/utils/test_asserts.py,0,0
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,-14,-9
utest/utils/test_connectioncache.py,103,93
utest/utils/test_dotdict.py,0,0
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,0,0
utest/utils/test_error.py,0,0
utest/utils/test_escaping.py,-27,-6
utest/utils/test_etreesource.py,0,0
utest/utils/test_filereader.py,0,0
utest/utils/test_frange.py,0,0
utest/utils/test_htmlwriter.py,-15,-36
utest/utils/test_importer_util.py,0,0
utest/utils/test_markuputils.py,-81,-46
utest/utils/test_match.py,34,28
utest/utils/test_misc.py,-51,-81
utest/utils/test_normalizing.py,-17,-62
utest/utils/test_old_py23_compatibility_layer.py,-9,-19
utest/utils/test_robotenv.py,0,0
utest/utils/test_robotpath.py,-5,-11
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,-15,-7
utest/utils/test_setter.py,-5,-8
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,-30,-45
utest/utils/test_unic.py,-13,-42
utest/utils/test_xmlwriter.py,55,65
utest/variables/test_isvar.py,0,0
utest/variables/test_search.py,0,0
utest/variables/test_variableassigner.py,0,0
utest/variables/test_variables.py,0,0
