File,statements,missing
perceval/_version.py,0,0
perceval/archive.py,0,0
perceval/backend.py,0,0
perceval/backends/core/__init__.py,0,0
perceval/backends/core/askbot.py,0,0
perceval/backends/core/bugzilla.py,0,0
perceval/backends/core/bugzillarest.py,0,0
perceval/backends/core/confluence.py,0,0
perceval/backends/core/discourse.py,0,0
perceval/backends/core/dockerhub.py,0,0
perceval/backends/core/gerrit.py,0,0
perceval/backends/core/git.py,0,0
perceval/backends/core/github.py,0,0
perceval/backends/core/githubql.py,0,0
perceval/backends/core/gitlab.py,0,0
perceval/backends/core/gitter.py,0,0
perceval/backends/core/googlehits.py,0,0
perceval/backends/core/groupsio.py,0,0
perceval/backends/core/hyperkitty.py,0,0
perceval/backends/core/jenkins.py,0,0
perceval/backends/core/jira.py,0,0
perceval/backends/core/launchpad.py,0,0
perceval/backends/core/mattermost.py,0,0
perceval/backends/core/mbox.py,0,0
perceval/backends/core/mediawiki.py,0,0
perceval/backends/core/meetup.py,0,0
perceval/backends/core/nntp.py,0,0
perceval/backends/core/pagure.py,0,0
perceval/backends/core/phabricator.py,0,0
perceval/backends/core/pipermail.py,0,0
perceval/backends/core/redmine.py,0,0
perceval/backends/core/rocketchat.py,0,0
perceval/backends/core/rss.py,0,0
perceval/backends/core/slack.py,0,0
perceval/backends/core/stackexchange.py,0,0
perceval/backends/core/supybot.py,0,0
perceval/backends/core/telegram.py,0,0
perceval/backends/core/twitter.py,0,0
perceval/client.py,0,0
perceval/errors.py,0,0
perceval/utils.py,0,0
tests/__init__.py,0,0
tests/test_archive.py,26,13
tests/test_askbot.py,28,28
tests/test_backend.py,-46,-46
tests/test_bugzilla.py,0,0
tests/test_bugzillarest.py,-10,-10
tests/test_client.py,124,94
tests/test_confluence.py,0,0
tests/test_discourse.py,0,0
tests/test_dockerhub.py,-9,-9
tests/test_errors.py,0,0
tests/test_gerrit.py,20,20
tests/test_git.py,25,25
tests/test_github.py,0,0
tests/test_githubql.py,30,30
tests/test_gitlab.py,10,10
tests/test_gitter.py,25,25
tests/test_googlehits.py,-11,-11
tests/test_groupsio.py,83,36
tests/test_hyperkitty.py,32,-7
tests/test_jenkins.py,0,0
tests/test_jira.py,-10,-10
tests/test_launchpad.py,-5,-5
tests/test_mattermost.py,40,40
tests/test_mbox.py,-3,2
tests/test_mediawiki.py,-5,-5
tests/test_meetup.py,-7,-7
tests/test_nntp.py,-4,-4
tests/test_pagure.py,0,0
tests/test_phabricator.py,0,0
tests/test_pipermail.py,0,0
tests/test_redmine.py,0,0
tests/test_rocketchat.py,0,0
tests/test_rss.py,-4,-4
tests/test_slack.py,0,0
tests/test_stackexchange.py,9,9
tests/test_supybot.py,-8,-4
tests/test_telegram.py,-9,-9
tests/test_twitter.py,2,2
tests/test_utils.py,0,1
