File,statements,missing
utest/api/test_deco.py,-3,0
utest/api/test_exposed_api.py,-3,0
utest/api/test_languages.py,-3,0
utest/api/test_logging_api.py,-11,-7
utest/api/test_run_and_rebot.py,0,0
utest/api/test_using_libraries.py,0,0
utest/api/test_zipsafe.py,0,0
utest/conf/test_settings.py,118,93
utest/htmldata/test_htmltemplate.py,-6,-3
utest/htmldata/test_jsonwriter.py,-52,-30
utest/libdoc/test_datatypes.py,0,0
utest/libdoc/test_libdoc.py,0,0
utest/libdoc/test_libdoc_api.py,0,0
utest/model/test_body.py,-1,1
utest/model/test_control.py,-25,-10
utest/model/test_filter.py,0,0
utest/model/test_fixture.py,0,0
utest/model/test_itemlist.py,0,0
utest/model/test_keyword.py,-5,-1
utest/model/test_message.py,-3,-1
utest/model/test_metadata.py,0,0
utest/model/test_modelobject.py,-9,0
utest/model/test_statistics.py,-18,-12
utest/model/test_tags.py,115,95
utest/model/test_tagstatistics.py,1,2
utest/model/test_testcase.py,-16,-1
utest/model/test_testsuite.py,44,22
utest/output/test_console.py,0,0
utest/output/test_filelogger.py,0,0
utest/output/test_listeners.py,0,0
utest/output/test_logger.py,39,38
utest/output/test_loggerhelper.py,0,0
utest/output/test_pylogging.py,0,0
utest/output/test_stdout_splitter.py,0,0
utest/parsing/parsing_test_utils.py,0,0
utest/parsing/test_lexer.py,0,0
utest/parsing/test_model.py,0,0
utest/parsing/test_statements.py,0,0
utest/parsing/test_statements_in_invalid_position.py,0,0
utest/parsing/test_suitestructure.py,0,0
utest/parsing/test_tokenizer.py,0,0
utest/parsing/test_tokens.py,-10,-8
utest/reporting/test_jsbuildingcontext.py,-3,0
utest/reporting/test_jsexecutionresult.py,0,0
utest/reporting/test_jsmodelbuilders.py,0,0
utest/reporting/test_jswriter.py,0,0
utest/reporting/test_logreportwriters.py,0,0
utest/reporting/test_reporting.py,0,0
utest/reporting/test_stringcache.py,-15,-9
utest/result/test_configurer.py,-12,-4
utest/result/test_executionerrors.py,0,0
utest/result/test_keywordremover.py,0,0
utest/result/test_resultbuilder.py,-4,-1
utest/result/test_resultmodel.py,153,141
utest/result/test_resultserializer.py,0,0
utest/result/test_visitor.py,63,63
utest/running/test_argumentspec.py,19,15
utest/running/test_builder.py,36,36
utest/running/test_importer.py,1,2
utest/running/test_imports.py,0,0
utest/running/test_librarykeyword.py,0,0
utest/running/test_namespace.py,0,0
utest/running/test_randomizer.py,0,0
utest/running/test_resourcefile.py,-62,-40
utest/running/test_run_model.py,0,0
utest/running/test_runkwregister.py,0,0
utest/running/test_running.py,0,0
utest/running/test_signalhandler.py,0,0
utest/running/test_testlibrary.py,-4,-4
utest/running/test_timeouts.py,-28,-19
utest/running/test_typeinfo.py,0,0
utest/running/test_typeinfoparser.py,0,0
utest/running/test_userkeyword.py,-52,-34
utest/running/thread_resources.py,0,0
utest/testdoc/test_jsonconverter.py,15,8
utest/utils/test_argumentparser.py,44,41
utest/utils/test_asserts.py,0,0
utest/utils/test_compat.py,0,0
utest/utils/test_compress.py,-7,-8
utest/utils/test_connectioncache.py,181,149
utest/utils/test_dotdict.py,0,0
utest/utils/test_encoding.py,0,0
utest/utils/test_encodingsniffer.py,0,0
utest/utils/test_error.py,0,0
utest/utils/test_escaping.py,-26,-24
utest/utils/test_etreesource.py,0,0
utest/utils/test_filereader.py,0,0
utest/utils/test_frange.py,0,0
utest/utils/test_htmlwriter.py,18,16
utest/utils/test_importer_util.py,0,0
utest/utils/test_markuputils.py,10,-97
utest/utils/test_match.py,36,35
utest/utils/test_misc.py,-38,-37
utest/utils/test_normalizing.py,-12,-4
utest/utils/test_old_py23_compatibility_layer.py,-26,-39
utest/utils/test_robotenv.py,0,0
utest/utils/test_robotpath.py,-11,-19
utest/utils/test_robottime.py,0,0
utest/utils/test_robottypes.py,-8,-5
utest/utils/test_setter.py,-3,-2
utest/utils/test_sortable.py,0,0
utest/utils/test_text.py,48,34
utest/utils/test_unic.py,-7,-51
utest/utils/test_xmlwriter.py,121,96
utest/variables/test_isvar.py,0,0
utest/variables/test_search.py,0,0
utest/variables/test_variableassigner.py,0,0
utest/variables/test_variables.py,0,0
