Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
statements,0.0,0.0,0.0
missing,-14.0,0.0,-14.0
missing,-45.0,0.0,-45.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,27.0,27.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,-17459.0,0.0,-17459.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-17.0,0.0,-17.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
