Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
missing,-5.0,1.0,-6.0
statements,30.0,30.0,0.0
statements,-17.0,1.0,-18.0
statements,-17.0,1.0,-18.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,-17.0,1.0,-18.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,-39.0,0.0,-39.0
missing,-8.0,1.0,-9.0
missing,-8841.0,0.0,-8841.0
missing,0.0,0.0,0.0
statements,384.0,386.0,-2.0
statements,-17.0,1.0,-18.0
missing,0.0,0.0,0.0
statements,384.0,386.0,-2.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,-17.0,1.0,-18.0
missing,-5.0,1.0,-6.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,-17.0,1.0,-18.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,-5.0,1.0,-6.0
statements,384.0,386.0,-2.0
statements,-17.0,1.0,-18.0
missing,16.0,16.0,0.0
missing,-5.0,1.0,-6.0
