Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-3.0,0.0,-3.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,-2.0,0.0,-2.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-8841.0,0.0,-8841.0
missing,-18.0,0.0,-18.0
statements,0.0,0.0,0.0
missing,-2.0,0.0,-2.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-6.0,0.0,-6.0
missing,-5.0,0.0,-5.0
missing,-1.0,0.0,-1.0
statements,0.0,0.0,0.0
