Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,-1.0,0.0,-1.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-1.0,0.0,-1.0
missing,-1.0,0.0,-1.0
statements,0.0,0.0,0.0
missing,-1.0,0.0,-1.0
missing,0.0,0.0,0.0
missing,-1.0,0.0,-1.0
missing,-1.0,0.0,-1.0
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
