Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
statements,9.0,9.0,0.0
missing,-1391.0,0.0,-1391.0
statements,30.0,30.0,0.0
missing,-1.0,16.0,-17.0
statements,9.0,9.0,0.0
statements,9.0,9.0,0.0
missing,16.0,16.0,0.0
statements,30.0,30.0,0.0
missing,-1391.0,0.0,-1391.0
statements,9.0,9.0,0.0
statements,30.0,30.0,0.0
missing,16.0,16.0,0.0
missing,16.0,16.0,0.0
statements,9.0,9.0,0.0
statements,30.0,30.0,0.0
statements,9.0,9.0,0.0
missing,-15.0,16.0,-31.0
statements,9.0,9.0,0.0
missing,-1391.0,0.0,-1391.0
statements,30.0,30.0,0.0
missing,-1391.0,0.0,-1391.0
missing,-1391.0,0.0,-1391.0
missing,-1391.0,0.0,-1391.0
missing,-1391.0,0.0,-1391.0
