Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-23.0,0.0,-23.0
statements,0.0,0.0,0.0
missing,-2.0,0.0,-2.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-74.0,0.0,-74.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,-2.0,0.0,-2.0
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-2.0,0.0,-2.0
statements,0.0,0.0,0.0
missing,-3.0,0.0,-3.0
missing,-6.0,0.0,-6.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
missing,0.0,0.0,0.0
