Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-2.0,0.0,-2.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,27.0,27.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-42.0,8.0,-50.0
statements,0.0,0.0,0.0
missing,-68.0,0.0,-68.0
missing,-17.0,0.0,-17.0
missing,-25.0,0.0,-25.0
missing,-134.0,0.0,-134.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-91.0,0.0,-91.0
statements,0.0,0.0,0.0
missing,0.0,0.0,0.0
statements,0.0,0.0,0.0
missing,-1.0,0.0,-1.0
missing,0.0,0.0,0.0
