Unnamed: 0,total,lost_coverage_lines,improve_coverage_lines
statements,84.0,84.0,0.0
missing,-17459.0,0.0,-17459.0
statements,84.0,84.0,0.0
missing,-2128.0,0.0,-2128.0
missing,-17460.0,0.0,-17460.0
statements,84.0,84.0,0.0
missing,-1634.0,0.0,-1634.0
statements,84.0,84.0,0.0
missing,-1634.0,0.0,-1634.0
statements,84.0,84.0,0.0
statements,84.0,84.0,0.0
statements,84.0,84.0,0.0
missing,-1699.0,0.0,-1699.0
statements,84.0,84.0,0.0
statements,84.0,84.0,0.0
missing,-17471.0,0.0,-17471.0
missing,-17459.0,0.0,-17459.0
missing,-17470.0,0.0,-17470.0
missing,-17559.0,0.0,-17559.0
missing,-17459.0,0.0,-17459.0
statements,84.0,84.0,0.0
missing,-1634.0,0.0,-1634.0
missing,-17459.0,0.0,-17459.0
statements,84.0,84.0,0.0
missing,-17471.0,0.0,-17471.0
statements,84.0,84.0,0.0
statements,84.0,84.0,0.0
statements,84.0,84.0,0.0
