Module,statements,missing
awscli/__init__.py,0,0
awscli/alias.py,0,0
awscli/argparser.py,0,0
awscli/argprocess.py,0,0
awscli/arguments.py,0,0
awscli/bcdoc/__init__.py,0,0
awscli/bcdoc/docevents.py,0,0
awscli/bcdoc/docstringparser.py,0,0
awscli/bcdoc/restdoc.py,0,0
awscli/bcdoc/style.py,0,0
awscli/bcdoc/textwriter.py,0,0
awscli/clidocs.py,0,0
awscli/clidriver.py,0,0
awscli/commands.py,0,0
awscli/compat.py,0,0
awscli/completer.py,0,0
awscli/customizations/__init__.py,0,0
awscli/customizations/addexamples.py,0,0
awscli/customizations/argrename.py,0,0
awscli/customizations/arguments.py,0,0
awscli/customizations/assumerole.py,0,0
awscli/customizations/awslambda.py,0,0
awscli/customizations/binaryhoist.py,0,0
awscli/customizations/cliinputjson.py,0,0
awscli/customizations/cloudformation/__init__.py,0,0
awscli/customizations/cloudformation/artifact_exporter.py,0,0
awscli/customizations/cloudformation/deploy.py,0,0
awscli/customizations/cloudformation/deployer.py,0,0
awscli/customizations/cloudformation/exceptions.py,0,0
awscli/customizations/cloudformation/package.py,0,0
awscli/customizations/cloudformation/yamlhelper.py,0,0
awscli/customizations/cloudfront.py,0,0
awscli/customizations/cloudsearch.py,0,0
awscli/customizations/cloudsearchdomain.py,0,0
awscli/customizations/cloudtrail/__init__.py,0,0
awscli/customizations/cloudtrail/subscribe.py,0,0
awscli/customizations/cloudtrail/utils.py,0,0
awscli/customizations/cloudtrail/validation.py,0,0
awscli/customizations/codeartifact/__init__.py,0,0
awscli/customizations/codeartifact/login.py,0,0
awscli/customizations/codecommit.py,0,0
awscli/customizations/codedeploy/__init__.py,0,0
awscli/customizations/codedeploy/codedeploy.py,0,0
awscli/customizations/codedeploy/deregister.py,0,0
awscli/customizations/codedeploy/install.py,0,0
awscli/customizations/codedeploy/locationargs.py,0,0
awscli/customizations/codedeploy/push.py,0,0
awscli/customizations/codedeploy/register.py,0,0
awscli/customizations/codedeploy/systems.py,0,0
awscli/customizations/codedeploy/uninstall.py,0,0
awscli/customizations/codedeploy/utils.py,0,0
awscli/customizations/commands.py,0,0
awscli/customizations/configservice/__init__.py,0,0
awscli/customizations/configservice/getstatus.py,0,0
awscli/customizations/configservice/putconfigurationrecorder.py,0,0
awscli/customizations/configservice/rename_cmd.py,0,0
awscli/customizations/configservice/subscribe.py,0,0
awscli/customizations/configure/__init__.py,0,0
awscli/customizations/configure/addmodel.py,0,0
awscli/customizations/configure/configure.py,0,0
awscli/customizations/configure/get.py,0,0
awscli/customizations/configure/list.py,0,0
awscli/customizations/configure/set.py,0,0
awscli/customizations/configure/writer.py,0,0
awscli/customizations/datapipeline/__init__.py,0,0
awscli/customizations/datapipeline/constants.py,0,0
awscli/customizations/datapipeline/createdefaultroles.py,0,0
awscli/customizations/datapipeline/listrunsformatter.py,0,0
awscli/customizations/datapipeline/translator.py,0,0
awscli/customizations/dlm/__init__.py,0,0
awscli/customizations/dlm/constants.py,0,0
awscli/customizations/dlm/createdefaultrole.py,0,0
awscli/customizations/dlm/dlm.py,0,0
awscli/customizations/dlm/iam.py,0,0
awscli/customizations/dynamodb.py,0,0
awscli/customizations/ec2/__init__.py,0,0
awscli/customizations/ec2/addcount.py,0,0
awscli/customizations/ec2/bundleinstance.py,0,0
awscli/customizations/ec2/decryptpassword.py,0,0
awscli/customizations/ec2/paginate.py,0,0
awscli/customizations/ec2/protocolarg.py,0,0
awscli/customizations/ec2/runinstances.py,0,0
awscli/customizations/ec2/secgroupsimplify.py,0,0
awscli/customizations/ecr.py,0,0
awscli/customizations/ecr_public.py,0,0
awscli/customizations/ecs/__init__.py,0,0
awscli/customizations/ecs/deploy.py,0,0
awscli/customizations/ecs/exceptions.py,0,0
awscli/customizations/ecs/executecommand.py,0,0
awscli/customizations/ecs/filehelpers.py,0,0
awscli/customizations/eks/__init__.py,0,0
awscli/customizations/eks/exceptions.py,0,0
awscli/customizations/eks/get_token.py,0,0
awscli/customizations/eks/kubeconfig.py,0,0
awscli/customizations/eks/ordered_yaml.py,0,0
awscli/customizations/eks/update_kubeconfig.py,0,0
awscli/customizations/emr/__init__.py,0,0
awscli/customizations/emr/addinstancegroups.py,0,0
awscli/customizations/emr/addsteps.py,0,0
awscli/customizations/emr/addtags.py,0,0
awscli/customizations/emr/applicationutils.py,0,0
awscli/customizations/emr/argumentschema.py,0,0
