Module,statements,missing
awscli/__init__.py,0,-4
awscli/alias.py,0,-68
awscli/argparser.py,0,-57
awscli/argprocess.py,0,-167
awscli/arguments.py,0,-61
awscli/bcdoc/__init__.py,0,0
awscli/bcdoc/docevents.py,0,-33
awscli/bcdoc/docstringparser.py,0,-69
awscli/bcdoc/restdoc.py,0,-67
awscli/bcdoc/style.py,0,-181
awscli/bcdoc/textwriter.py,0,-45
awscli/clidocs.py,0,-445
awscli/clidriver.py,0,-113
awscli/commands.py,0,-4
awscli/compat.py,0,-74
awscli/completer.py,0,-64
awscli/customizations/__init__.py,0,0
awscli/customizations/addexamples.py,0,-13
awscli/customizations/argrename.py,0,0
awscli/customizations/arguments.py,0,-32
awscli/customizations/assumerole.py,0,-9
awscli/customizations/awslambda.py,0,-24
awscli/customizations/binaryhoist.py,0,-13
awscli/customizations/cliinputjson.py,0,-13
awscli/customizations/cloudformation/__init__.py,0,0
awscli/customizations/cloudformation/artifact_exporter.py,0,-162
awscli/customizations/cloudformation/deploy.py,0,-53
awscli/customizations/cloudformation/deployer.py,0,-71
awscli/customizations/cloudformation/exceptions.py,0,-3
awscli/customizations/cloudformation/package.py,0,-19
awscli/customizations/cloudformation/yamlhelper.py,0,-26
awscli/customizations/cloudfront.py,0,-34
awscli/customizations/cloudsearch.py,0,-11
awscli/customizations/cloudsearchdomain.py,0,-2
awscli/customizations/cloudtrail/__init__.py,0,0
awscli/customizations/cloudtrail/subscribe.py,0,-93
awscli/customizations/cloudtrail/utils.py,0,-8
awscli/customizations/cloudtrail/validation.py,0,-296
awscli/customizations/codeartifact/__init__.py,0,0
awscli/customizations/codeartifact/login.py,0,-262
awscli/customizations/codecommit.py,0,-48
awscli/customizations/codedeploy/__init__.py,0,0
awscli/customizations/codedeploy/codedeploy.py,0,0
awscli/customizations/codedeploy/deregister.py,0,-52
awscli/customizations/codedeploy/install.py,0,-29
awscli/customizations/codedeploy/locationargs.py,0,-21
awscli/customizations/codedeploy/push.py,0,-69
awscli/customizations/codedeploy/register.py,0,-43
awscli/customizations/codedeploy/systems.py,0,-56
awscli/customizations/codedeploy/uninstall.py,0,-15
awscli/customizations/codedeploy/utils.py,0,-46
awscli/customizations/commands.py,0,-101
awscli/customizations/configservice/__init__.py,0,0
awscli/customizations/configservice/getstatus.py,0,-39
awscli/customizations/configservice/putconfigurationrecorder.py,0,-14
awscli/customizations/configservice/rename_cmd.py,0,0
awscli/customizations/configservice/subscribe.py,0,-51
awscli/customizations/configure/__init__.py,0,-12
awscli/customizations/configure/addmodel.py,0,-25
awscli/customizations/configure/configure.py,0,-34
awscli/customizations/configure/get.py,0,-42
awscli/customizations/configure/list.py,0,-31
awscli/customizations/configure/set.py,0,-39
awscli/customizations/configure/writer.py,0,-100
awscli/customizations/datapipeline/__init__.py,0,-103
awscli/customizations/datapipeline/constants.py,0,0
awscli/customizations/datapipeline/createdefaultroles.py,0,-41
awscli/customizations/datapipeline/listrunsformatter.py,0,-22
awscli/customizations/datapipeline/translator.py,0,-100
awscli/customizations/dlm/__init__.py,0,0
awscli/customizations/dlm/constants.py,0,0
awscli/customizations/dlm/createdefaultrole.py,0,-37
awscli/customizations/dlm/dlm.py,0,0
awscli/customizations/dlm/iam.py,0,-16
awscli/customizations/dynamodb.py,0,-8
awscli/customizations/ec2/__init__.py,0,0
awscli/customizations/ec2/addcount.py,0,-16
awscli/customizations/ec2/bundleinstance.py,0,-31
awscli/customizations/ec2/decryptpassword.py,0,-25
awscli/customizations/ec2/paginate.py,0,-15
awscli/customizations/ec2/protocolarg.py,0,-10
awscli/customizations/ec2/runinstances.py,0,-42
awscli/customizations/ec2/secgroupsimplify.py,0,-47
awscli/customizations/ecr.py,0,-22
awscli/customizations/ecr_public.py,0,-8
awscli/customizations/ecs/__init__.py,0,0
awscli/customizations/ecs/deploy.py,0,-129
awscli/customizations/ecs/exceptions.py,0,-3
awscli/customizations/ecs/executecommand.py,0,-31
awscli/customizations/ecs/filehelpers.py,0,-27
awscli/customizations/eks/__init__.py,0,0
awscli/customizations/eks/exceptions.py,0,0
awscli/customizations/eks/get_token.py,0,-63
awscli/customizations/eks/kubeconfig.py,0,-70
awscli/customizations/eks/ordered_yaml.py,0,-5
awscli/customizations/eks/update_kubeconfig.py,0,-75
awscli/customizations/emr/__init__.py,0,0
awscli/customizations/emr/addinstancegroups.py,0,-16
awscli/customizations/emr/addsteps.py,0,-8
awscli/customizations/emr/addtags.py,0,-3
awscli/customizations/emr/applicationutils.py,0,-50
awscli/customizations/emr/argumentschema.py,0,0
awscli/customizations/emr/command.py,0,-30
awscli/customizations/emr/config.py,0,-36
awscli/customizations/emr/configutils.py,0,-15
awscli/customizations/emr/constants.py,0,0
awscli/customizations/emr/createcluster.py,0,-208
awscli/customizations/emr/createdefaultroles.py,0,-100
awscli/customizations/emr/describecluster.py,0,-26
awscli/customizations/emr/emr.py,0,0
awscli/customizations/emr/emrfsutils.py,0,-79
awscli/customizations/emr/emrutils.py,0,-94
awscli/customizations/emr/exceptions.py,0,-7
awscli/customizations/emr/hbase.py,0,-67
awscli/customizations/emr/hbaseutils.py,0,-5
awscli/customizations/emr/helptext.py,0,0
awscli/customizations/emr/installapplications.py,0,-11
awscli/customizations/emr/instancefleetsutils.py,0,-30
awscli/customizations/emr/instancegroupsutils.py,0,-45
awscli/customizations/emr/listclusters.py,0,-18
awscli/customizations/emr/modifyclusterattributes.py,0,-21
awscli/customizations/emr/ssh.py,0,0
awscli/customizations/emr/sshutils.py,0,-18
awscli/customizations/emr/steputils.py,0,-96
awscli/customizations/emr/terminateclusters.py,0,-3
awscli/customizations/emrcontainers/__init__.py,0,0
awscli/customizations/emrcontainers/base36.py,0,0
awscli/customizations/emrcontainers/constants.py,0,0
awscli/customizations/emrcontainers/eks.py,0,-2
awscli/customizations/emrcontainers/iam.py,0,-2
awscli/customizations/emrcontainers/update_role_trust_policy.py,0,-54
awscli/customizations/flatten.py,0,-20
awscli/customizations/gamelift/__init__.py,0,0
awscli/customizations/gamelift/getlog.py,0,-10
awscli/customizations/gamelift/uploadbuild.py,0,-49
awscli/customizations/generatecliskeleton.py,0,-33
awscli/customizations/globalargs.py,0,-42
awscli/customizations/history/__init__.py,0,-25
awscli/customizations/history/commands.py,0,-16
awscli/customizations/history/constants.py,0,0
awscli/customizations/history/db.py,0,-79
awscli/customizations/history/filters.py,0,-6
awscli/customizations/history/list.py,0,-43
awscli/customizations/history/show.py,0,-116
awscli/customizations/iamvirtmfa.py,0,-13
awscli/customizations/iot.py,0,0
awscli/customizations/iot_data.py,0,-4
awscli/customizations/kinesis.py,0,-2
awscli/customizations/kms.py,0,-1
awscli/customizations/mturk.py,0,0
awscli/customizations/opsworks.py,0,-173
awscli/customizations/opsworkscm.py,0,0
awscli/customizations/overridesslcommonname.py,0,-15
awscli/customizations/paginate.py,0,-41
awscli/customizations/preview.py,0,-19
awscli/customizations/putmetricdata.py,0,-23
awscli/customizations/quicksight.py,0,0
awscli/customizations/rds.py,0,-5
awscli/customizations/rekognition.py,0,0
awscli/customizations/removals.py,0,0
awscli/customizations/route53.py,0,-2
awscli/customizations/s3/__init__.py,0,0
awscli/customizations/s3/comparator.py,0,-58
awscli/customizations/s3/fileformat.py,0,-26
awscli/customizations/s3/filegenerator.py,0,-152
awscli/customizations/s3/fileinfo.py,0,-28
awscli/customizations/s3/fileinfobuilder.py,0,-27
awscli/customizations/s3/filters.py,0,-59
awscli/customizations/s3/results.py,0,-210
awscli/customizations/s3/s3.py,0,-2
