File,statements,missing
tests/client_test/aiotransmission_test/api_freespace_test.py,0,16
tests/client_test/aiotransmission_test/api_settings_test.py,0,366
tests/client_test/aiotransmission_test/api_status_test.py,0,91
tests/client_test/aiotransmission_test/api_torrent_test.py,0,207
tests/client_test/aiotransmission_test/rpc_test.py,0,296
tests/client_test/aiotransmission_test/torrent_test.py,0,49
tests/client_test/base_test.py,0,75
tests/client_test/client_utils_test.py,-4,433
tests/client_test/constants_test.py,0,9
tests/client_test/filters_test/file_filter_test.py,0,13
tests/client_test/filters_test/filter_helpers.py,0,263
tests/client_test/filters_test/filter_specs_test.py,0,24
tests/client_test/filters_test/filters_base_test.py,9,369
tests/client_test/filters_test/peer_filter_test.py,0,13
tests/client_test/filters_test/setting_filter_test.py,0,18
tests/client_test/filters_test/torrent_filter_test.py,0,43
tests/client_test/filters_test/tracker_filter_test.py,0,26
tests/client_test/poll_test.py,0,157
tests/client_test/sorters_test/peer_sorter_test.py,0,24
tests/client_test/sorters_test/setting_sorter_test.py,0,9
tests/client_test/sorters_test/sorter_helpers.py,0,5
tests/client_test/sorters_test/sorters_base_test.py,0,100
tests/client_test/sorters_test/torrent_sorter_test.py,0,68
tests/client_test/sorters_test/tracker_sorter_test.py,0,25
tests/client_test/trequestpool_test.py,0,165
tests/client_test/ttypes_test.py,0,31
tests/commands_test/cmdbase_test.py,0,105
tests/commands_test/cmdmanager_test.py,-8,367
tests/commands_test/commands_utils_test.py,0,3
tests/commands_test/config_cmds_test.py,0,451
tests/commands_test/guess_ui_test.py,0,26
tests/commands_test/misc_cmds_test.py,0,30
tests/commands_test/resources_cmd.py,0,155
tests/commands_test/torrent_cmds_test.py,0,702
tests/commands_test/tui_cmds_test.py,0,214
tests/completion_test/candidates_test.py,0,482
tests/completion_test/classes_test.py,0,138
tests/completion_test/completion_utils_test.py,0,53
tests/settings_test/rcfile_test.py,0,25
tests/settings_test/settings_test.py,0,257
tests/tui_test/__init__.py,0,0
tests/tui_test/_handle_urwidpatches.py,0,10
tests/tui_test/cli_test.py,0,93
tests/tui_test/completer_test.py,0,286
tests/tui_test/group_test.py,0,112
tests/tui_test/keymap_test.py,0,591
tests/tui_test/resources_tui.py,0,6
tests/tui_test/scroll_test.py,0,160
tests/tui_test/tabs_test.py,0,316
tests/tui_test/theme_test.py,0,31
tests/tui_test/urwidpatches_test.py,0,25
tests/utils_test/cliparser_test.py,0,1098
tests/utils_test/converter_test.py,0,100
tests/utils_test/string_test.py,0,60
tests/utils_test/usertypes_test.py,-14,379
tests/utils_test/utils_test.py,0,20
