Module,statements,missing
cloudinit/__init__.py,0,0
cloudinit/analyze/__init__.py,0,0
cloudinit/analyze/dump.py,0,0
cloudinit/analyze/show.py,0,0
cloudinit/apport.py,0,0
cloudinit/atomic_helper.py,0,0
cloudinit/cloud.py,0,0
cloudinit/cmd/__init__.py,0,0
cloudinit/cmd/clean.py,0,0
cloudinit/cmd/cloud_id.py,0,0
cloudinit/cmd/devel/__init__.py,0,0
cloudinit/cmd/devel/hotplug_hook.py,0,0
cloudinit/cmd/devel/logs.py,0,0
cloudinit/cmd/devel/make_mime.py,0,0
cloudinit/cmd/devel/net_convert.py,0,0
cloudinit/cmd/devel/parser.py,0,0
cloudinit/cmd/devel/render.py,0,0
cloudinit/cmd/main.py,0,0
cloudinit/cmd/query.py,0,0
cloudinit/cmd/status.py,0,0
cloudinit/config/__init__.py,0,0
cloudinit/config/cc_ansible.py,0,0
cloudinit/config/cc_apk_configure.py,0,0
cloudinit/config/cc_apt_configure.py,0,0
cloudinit/config/cc_apt_pipelining.py,0,0
cloudinit/config/cc_bootcmd.py,0,0
cloudinit/config/cc_byobu.py,0,0
cloudinit/config/cc_ca_certs.py,0,0
cloudinit/config/cc_chef.py,0,0
cloudinit/config/cc_disable_ec2_metadata.py,0,0
cloudinit/config/cc_disk_setup.py,0,0
cloudinit/config/cc_fan.py,0,0
cloudinit/config/cc_final_message.py,0,0
cloudinit/config/cc_growpart.py,0,0
cloudinit/config/cc_grub_dpkg.py,0,0
cloudinit/config/cc_install_hotplug.py,0,0
cloudinit/config/cc_keyboard.py,0,0
cloudinit/config/cc_keys_to_console.py,0,0
cloudinit/config/cc_landscape.py,0,0
cloudinit/config/cc_locale.py,0,0
cloudinit/config/cc_lxd.py,0,0
cloudinit/config/cc_mcollective.py,0,0
cloudinit/config/cc_mounts.py,0,0
cloudinit/config/cc_ntp.py,0,0
cloudinit/config/cc_package_update_upgrade_install.py,0,0
cloudinit/config/cc_phone_home.py,0,0
cloudinit/config/cc_power_state_change.py,0,0
cloudinit/config/cc_puppet.py,0,0
cloudinit/config/cc_reset_rmc.py,0,0
cloudinit/config/cc_resizefs.py,0,0
cloudinit/config/cc_resolv_conf.py,0,0
cloudinit/config/cc_rh_subscription.py,0,0
cloudinit/config/cc_rightscale_userdata.py,0,0
cloudinit/config/cc_rsyslog.py,0,0
cloudinit/config/cc_runcmd.py,0,0
cloudinit/config/cc_salt_minion.py,0,0
cloudinit/config/cc_scripts_per_boot.py,0,0
cloudinit/config/cc_scripts_per_instance.py,0,0
cloudinit/config/cc_scripts_per_once.py,0,0
cloudinit/config/cc_scripts_user.py,0,0
cloudinit/config/cc_scripts_vendor.py,0,0
cloudinit/config/cc_seed_random.py,0,0
cloudinit/config/cc_set_hostname.py,0,0
cloudinit/config/cc_set_passwords.py,0,0
cloudinit/config/cc_snap.py,0,0
cloudinit/config/cc_spacewalk.py,0,0
cloudinit/config/cc_ssh.py,0,0
cloudinit/config/cc_ssh_authkey_fingerprints.py,0,0
cloudinit/config/cc_ssh_import_id.py,0,0
cloudinit/config/cc_timezone.py,0,0
cloudinit/config/cc_ubuntu_advantage.py,0,0
cloudinit/config/cc_ubuntu_autoinstall.py,0,0
cloudinit/config/cc_ubuntu_drivers.py,0,0
cloudinit/config/cc_update_etc_hosts.py,0,0
cloudinit/config/cc_update_hostname.py,0,0
cloudinit/config/cc_users_groups.py,0,0
cloudinit/config/cc_wireguard.py,0,0
cloudinit/config/cc_write_files.py,0,0
cloudinit/config/cc_write_files_deferred.py,0,0
cloudinit/config/cc_yum_add_repo.py,0,0
cloudinit/config/cc_zypper_add_repo.py,0,0
cloudinit/config/modules.py,0,0
cloudinit/config/schema.py,0,0
cloudinit/distros/OpenCloudOS.py,0,0
cloudinit/distros/TencentOS.py,0,0
cloudinit/distros/__init__.py,0,0
cloudinit/distros/almalinux.py,0,0
cloudinit/distros/alpine.py,0,0
cloudinit/distros/amazon.py,0,0
cloudinit/distros/arch.py,0,0
cloudinit/distros/bsd.py,0,0
cloudinit/distros/bsd_utils.py,0,0
cloudinit/distros/centos.py,0,0
cloudinit/distros/cloudlinux.py,0,0
cloudinit/distros/cos.py,0,0
cloudinit/distros/debian.py,0,0
cloudinit/distros/eurolinux.py,0,0
cloudinit/distros/fedora.py,0,0
cloudinit/distros/freebsd.py,0,0
cloudinit/distros/gentoo.py,0,0
cloudinit/distros/mariner.py,0,0
cloudinit/distros/miraclelinux.py,0,0
cloudinit/distros/net_util.py,0,0
cloudinit/distros/netbsd.py,0,0
cloudinit/distros/networking.py,0,0
cloudinit/distros/openbsd.py,0,0
cloudinit/distros/openeuler.py,0,0
cloudinit/distros/openmandriva.py,0,0
cloudinit/distros/opensuse-leap.py,0,0
cloudinit/distros/opensuse-microos.py,0,0
cloudinit/distros/opensuse-tumbleweed.py,0,0
cloudinit/distros/opensuse.py,0,0
cloudinit/distros/package_management/__init__.py,0,0
cloudinit/distros/package_management/apt.py,0,0
cloudinit/distros/package_management/package_manager.py,0,0
cloudinit/distros/package_management/snap.py,0,0
cloudinit/distros/package_management/utils.py,0,0
cloudinit/distros/parsers/__init__.py,0,0
cloudinit/distros/parsers/hostname.py,0,0
cloudinit/distros/parsers/hosts.py,0,0
cloudinit/distros/parsers/ifconfig.py,0,0
cloudinit/distros/parsers/networkmanager_conf.py,0,0
cloudinit/distros/parsers/resolv_conf.py,0,0
cloudinit/distros/parsers/sys_conf.py,0,0
cloudinit/distros/photon.py,0,0
cloudinit/distros/rhel.py,0,0
cloudinit/distros/rhel_util.py,0,0
cloudinit/distros/rocky.py,0,0
cloudinit/distros/sle-micro.py,0,0
cloudinit/distros/sle_hpc.py,0,0
cloudinit/distros/sles.py,0,0
cloudinit/distros/ubuntu.py,0,0
cloudinit/distros/ug_util.py,0,0
cloudinit/distros/virtuozzo.py,0,0
cloudinit/dmi.py,0,0
cloudinit/event.py,0,0
cloudinit/features.py,0,0
cloudinit/filters/__init__.py,0,0
cloudinit/filters/launch_index.py,0,0
cloudinit/gpg.py,0,0
cloudinit/handlers/__init__.py,0,0
cloudinit/handlers/boot_hook.py,0,0
cloudinit/handlers/cloud_config.py,0,0
cloudinit/handlers/jinja_template.py,0,0
cloudinit/handlers/shell_script.py,0,0
cloudinit/handlers/shell_script_by_frequency.py,0,0
cloudinit/helpers.py,0,0
cloudinit/importer.py,0,0
cloudinit/log.py,0,0
cloudinit/mergers/__init__.py,0,0
cloudinit/mergers/m_dict.py,0,0
cloudinit/mergers/m_list.py,0,0
cloudinit/mergers/m_str.py,0,0
cloudinit/net/__init__.py,0,0
cloudinit/net/activators.py,0,0
cloudinit/net/bsd.py,0,0
cloudinit/net/cmdline.py,0,0
cloudinit/net/dhcp.py,0,0
cloudinit/net/eni.py,0,0
cloudinit/net/ephemeral.py,0,0
cloudinit/net/freebsd.py,0,0
cloudinit/net/netbsd.py,0,0
cloudinit/net/netops/__init__.py,0,0
cloudinit/net/netops/bsd_netops.py,0,0
cloudinit/net/netops/iproute2.py,0,0
cloudinit/net/netplan.py,0,0
cloudinit/net/network_manager.py,0,0
cloudinit/net/network_state.py,0,0
cloudinit/net/networkd.py,0,0
cloudinit/net/openbsd.py,0,0
cloudinit/net/renderer.py,0,0
cloudinit/net/renderers.py,0,0
cloudinit/net/sysconfig.py,0,0
cloudinit/net/udev.py,0,0
cloudinit/netinfo.py,0,0
cloudinit/persistence.py,0,0
cloudinit/registry.py,0,0
cloudinit/reporting/__init__.py,0,0
cloudinit/reporting/events.py,0,0
cloudinit/reporting/handlers.py,0,0
cloudinit/safeyaml.py,0,0
cloudinit/settings.py,0,0
cloudinit/signal_handler.py,0,0
cloudinit/simpletable.py,0,0
cloudinit/sources/DataSourceAkamai.py,0,0
cloudinit/sources/DataSourceAliYun.py,0,0
cloudinit/sources/DataSourceAltCloud.py,0,0
cloudinit/sources/DataSourceAzure.py,0,0
cloudinit/sources/DataSourceBigstep.py,0,0
cloudinit/sources/DataSourceCloudSigma.py,0,0
cloudinit/sources/DataSourceCloudStack.py,0,0
cloudinit/sources/DataSourceConfigDrive.py,0,0
cloudinit/sources/DataSourceDigitalOcean.py,0,0
cloudinit/sources/DataSourceEc2.py,0,0
cloudinit/sources/DataSourceExoscale.py,0,0
cloudinit/sources/DataSourceGCE.py,0,0
cloudinit/sources/DataSourceHetzner.py,0,0
cloudinit/sources/DataSourceIBMCloud.py,0,0
cloudinit/sources/DataSourceLXD.py,0,0
cloudinit/sources/DataSourceMAAS.py,0,0
cloudinit/sources/DataSourceNWCS.py,0,0
cloudinit/sources/DataSourceNoCloud.py,0,0
cloudinit/sources/DataSourceNone.py,0,0
cloudinit/sources/DataSourceOVF.py,0,0
cloudinit/sources/DataSourceOpenNebula.py,0,0
cloudinit/sources/DataSourceOpenStack.py,0,0
cloudinit/sources/DataSourceOracle.py,0,0
cloudinit/sources/DataSourceRbxCloud.py,0,0
cloudinit/sources/DataSourceScaleway.py,0,0
cloudinit/sources/DataSourceSmartOS.py,0,0
cloudinit/sources/DataSourceUpCloud.py,0,0
cloudinit/sources/DataSourceVMware.py,0,0
cloudinit/sources/DataSourceVultr.py,0,0
cloudinit/sources/__init__.py,0,0
cloudinit/sources/azure/__init__.py,0,0
cloudinit/sources/azure/errors.py,0,0
cloudinit/sources/azure/identity.py,0,0
cloudinit/sources/azure/imds.py,0,0
cloudinit/sources/azure/kvp.py,0,0
cloudinit/sources/helpers/__init__.py,0,0
cloudinit/sources/helpers/akamai.py,0,0
cloudinit/sources/helpers/azure.py,0,27
cloudinit/sources/helpers/cloudsigma.py,0,0
cloudinit/sources/helpers/digitalocean.py,0,0
cloudinit/sources/helpers/ec2.py,0,0
cloudinit/sources/helpers/hetzner.py,0,0
cloudinit/sources/helpers/netlink.py,0,0
cloudinit/sources/helpers/openstack.py,0,0
cloudinit/sources/helpers/upcloud.py,0,0
cloudinit/sources/helpers/vmware/__init__.py,0,0
cloudinit/sources/helpers/vmware/imc/__init__.py,0,0
cloudinit/sources/helpers/vmware/imc/boot_proto.py,0,0
cloudinit/sources/helpers/vmware/imc/config.py,0,0
cloudinit/sources/helpers/vmware/imc/config_custom_script.py,0,0
cloudinit/sources/helpers/vmware/imc/config_file.py,0,0
cloudinit/sources/helpers/vmware/imc/config_nic.py,0,0
cloudinit/sources/helpers/vmware/imc/config_passwd.py,0,0
cloudinit/sources/helpers/vmware/imc/config_source.py,0,0
cloudinit/sources/helpers/vmware/imc/guestcust_error.py,0,0
cloudinit/sources/helpers/vmware/imc/guestcust_event.py,0,0
cloudinit/sources/helpers/vmware/imc/guestcust_state.py,0,0
cloudinit/sources/helpers/vmware/imc/guestcust_util.py,0,0
cloudinit/sources/helpers/vmware/imc/nic.py,0,0
cloudinit/sources/helpers/vmware/imc/nic_base.py,0,0
cloudinit/sources/helpers/vultr.py,0,0
cloudinit/ssh_util.py,0,0
cloudinit/stages.py,0,0
cloudinit/subp.py,0,0
cloudinit/temp_utils.py,0,0
cloudinit/templater.py,0,0
cloudinit/type_utils.py,0,0
cloudinit/url_helper.py,0,0
cloudinit/user_data.py,0,0
cloudinit/util.py,0,0
cloudinit/version.py,0,0
cloudinit/warnings.py,0,0
