file_name,sum_statements,sum_missing
GeneralFixture_consolidated_results,2085,-40921
SuboptimalAssert_consolidated_results,2337,8071
ObscureInLineSetup_consolidated_results,146,-17209
RedundantAssertion_consolidated_results,238,7447
IgnoredTest_consolidated_results,464,-1648
SleepyTest_consolidated_results,860,-14707
AssertionRoulette_consolidated_results,1380,-53826
LackCohesion_consolidated_results,835,-38220
EmptyTest_consolidated_results,0,-6
ExceptionHandling_consolidated_results,2114,-53435
MagicNumberTest_consolidated_results,2929,-52553
ConstructorInitialization_consolidated_results,415,66
UnknownTest_consolidated_results,1802,-53676
RedundantPrint_consolidated_results,680,-652
DuplicateAssertion_consolidated_results,3540,-51333
TestMaverick_consolidated_results,1698,-38221
ConditionalTestLogic_consolidated_results,4390,-51915
